trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,2,f,low,True,421.8532918968158
task,practice,magnitude,2,f,low,True,564.1298682730012
task,practice,magnitude,2,f,low,True,531.2702463390906
task,practice,magnitude,8,j,high,True,230.0079085553465
task,practice,magnitude,6,j,high,True,1061.6635212171193
task,practice,magnitude,9,j,high,True,1122.713660975502
task,practice,magnitude,9,j,high,True,981.3905646451835
task,practice,magnitude,3,f,low,True,946.4497870647901
task,practice,magnitude,3,f,low,True,665.3337373368604
task,practice,magnitude,9,,,False,
task,experiment,magnitude,4,f,low,True,1046.1102061848756
task,experiment,parity,7,j,odd,True,1017.9167847493528
task,experiment,magnitude,6,j,high,True,438.1617570574878
task,experiment,parity,4,f,even,True,497.7533344188956
task,experiment,magnitude,3,f,low,True,203.25613334646778
task,experiment,parity,1,j,odd,True,652.5180996405275
task,experiment,magnitude,2,f,low,True,433.1856818569222
task,experiment,parity,3,j,odd,True,222.30476540138216
task,experiment,magnitude,1,f,low,True,982.0072042407621
task,experiment,parity,6,f,even,True,1194.074316892364
task,experiment,magnitude,6,j,high,True,643.8871604866074
task,experiment,parity,9,j,odd,True,418.03224403175506
task,experiment,magnitude,4,j,high,False,1063.6800665007027
task,experiment,parity,3,j,odd,True,530.707349680322
task,experiment,magnitude,7,j,high,True,410.6730439760481
task,experiment,parity,2,f,even,True,245.90430412310968
task,experiment,magnitude,1,f,low,True,939.4665592190323
task,experiment,parity,2,f,even,True,1174.279537631869
task,experiment,magnitude,4,j,high,False,446.35503555906587
task,experiment,parity,6,f,even,True,463.83951987326674
task,experiment,magnitude,8,j,high,True,601.1017373279301
task,experiment,parity,8,f,even,True,547.3679818885248
task,experiment,magnitude,3,f,low,True,593.9189445546724
task,experiment,parity,6,f,even,True,586.9815329277061
task,experiment,magnitude,1,f,low,True,1048.3664058643435
task,experiment,parity,2,f,even,True,523.8500679575652
task,experiment,magnitude,2,f,low,True,681.258847297654
task,experiment,parity,4,f,even,True,626.2387013784399
task,experiment,magnitude,6,f,low,False,233.7989105938895
task,experiment,parity,6,j,odd,False,493.71497641440783
task,experiment,magnitude,7,j,high,True,402.754841865516
task,experiment,parity,9,j,odd,True,525.8082086207414
task,experiment,magnitude,2,j,high,False,418.4200368312058
task,experiment,parity,6,f,even,True,523.6967674039774
task,experiment,magnitude,1,,,False,
task,experiment,parity,8,f,even,True,558.7338255402194
task,experiment,magnitude,4,,,False,
task,experiment,parity,7,f,even,False,593.8706340866244
task,experiment,magnitude,4,f,low,True,461.6913293091791
task,experiment,parity,2,f,even,True,620.1115727708714
questionnaire,,,,"{""item1"":1,""item2"":3,""item3"":3,""item4"":4,""item5"":1,""item6"":1,""item7"":null,""item8"":4,""item9"":0,""item10"":4}",,,
