trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,737.37,j,1,,river,nature,nature or school,nature,school,0,
iat,nature | school,576.64,f,2,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,801.08,f,3,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,726.79,f,4,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,NA,NA,5,,exam,school,nature or school,nature,school,NA,
iat,nature | school,702.38,j,6,,teacher,school,nature or school,nature,school,1,
iat,nature | school,667.84,j,7,,grade,school,nature or school,nature,school,1,
iat,nature | school,614.76,j,8,,homework,school,nature or school,nature,school,1,
iat,nature | school,562.02,j,9,,exam,school,nature or school,nature,school,1,
iat,nature | school,700.56,j,10,,grade,school,nature or school,nature,school,1,
iat,nature | school,636.35,f,11,,tree,nature,nature or school,nature,school,1,
iat,nature | school,336.2,f,12,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,560.48,f,13,,forest,nature,nature or school,nature,school,1,
iat,nature | school,492.21,f,14,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,694.11,f,15,,lake,nature,nature or school,nature,school,1,
iat,nature | school,540.11,j,16,,campus,school,nature or school,nature,school,1,
iat,nature | school,338.35,f,17,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,603.75,j,18,,essay,school,nature or school,nature,school,1,
iat,nature | school,818.05,f,19,,forest,nature,nature or school,nature,school,1,
iat,nature | school,517.15,f,20,,teacher,school,nature or school,nature,school,0,
iat,nature | school,604.8,j,21,,exam,school,nature or school,nature,school,1,
iat,nature | school,414.59,j,22,,campus,school,nature or school,nature,school,1,
iat,nature | school,565.67,j,23,,teacher,school,nature or school,nature,school,1,
iat,nature | school,523.31,j,24,,exam,school,nature or school,nature,school,1,
iat,serenity | anxiety,434.23,j,25,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,644.16,f,26,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,656.39,f,27,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,624.92,f,28,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,656.82,j,29,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,910.11,f,30,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,748.18,f,31,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,460.36,j,32,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,763.57,j,33,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,652.99,j,34,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,642.39,f,35,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,611.02,f,36,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,535.28,f,37,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,592.23,f,38,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,604.38,j,39,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,707.57,j,40,,quiet,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,430.87,f,41,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,500.13,j,42,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,738.09,f,43,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,847.4,j,44,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,253.36,j,45,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,427.73,j,46,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,498.89,j,47,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,634.71,j,48,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature or serenity | school or anxiety,549.57,j,49,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,554.45,j,50,,alarm,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,721.53,f,51,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,613.0,f,52,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,366.8,f,53,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,716.08,f,54,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,660.93,f,55,,peace,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,599.35,j,56,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,560.01,f,57,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,393.76,j,58,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,367.3,f,59,,peace,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,498.0,f,60,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,529.28,j,61,,worry,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,532.82,f,62,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,329.77,f,63,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
