trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,339.43,f,1,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,549.21,j,2,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,590.23,f,3,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,569.6,j,4,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,567.4,f,5,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,775.34,j,6,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,703.18,f,7,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,695.79,f,8,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,518.49,j,9,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,665.43,j,10,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,315.28,j,11,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,368.36,j,12,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,417.13,j,13,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,703.39,j,14,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,448.9,j,15,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,337.83,j,16,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,521.65,j,17,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,357.62,f,18,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,719.15,j,19,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,645.57,j,20,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,791.21,f,21,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,591.43,j,22,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,438.94,j,23,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,499.69,f,24,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,736.94,f,25,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,722.56,f,26,,river,nature,nature or school,nature,school,1,
iat,nature | school,585.24,f,27,,tree,nature,nature or school,nature,school,1,
iat,nature | school,457.33,j,28,,grade,school,nature or school,nature,school,1,
iat,nature | school,769.29,j,29,,campus,school,nature or school,nature,school,1,
iat,nature | school,690.15,j,30,,homework,school,nature or school,nature,school,1,
iat,nature | school,561.15,f,31,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,627.54,j,32,,exam,school,nature or school,nature,school,1,
iat,nature | school,597.71,f,33,,tree,nature,nature or school,nature,school,1,
iat,nature | school,660.75,f,34,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,553.12,j,35,,grade,school,nature or school,nature,school,1,
iat,nature | school,508.62,f,36,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,639.78,f,37,,class,school,nature or school,nature,school,0,
iat,nature | school,698.94,f,38,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,641.38,j,39,,teacher,school,nature or school,nature,school,1,
iat,nature | school,419.41,j,40,,campus,school,nature or school,nature,school,1,
iat,nature | school,519.02,f,41,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,634.62,f,42,,tree,nature,nature or school,nature,school,1,
iat,nature | school,397.5,j,43,,teacher,school,nature or school,nature,school,1,
iat,nature | school,612.39,f,44,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,582.81,f,45,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,653.96,j,46,,exam,school,nature or school,nature,school,1,
iat,nature | school,488.73,f,47,,grade,school,nature or school,nature,school,0,
iat,nature | school,622.8,f,48,,meadow,nature,nature or school,nature,school,1,
iat,nature or serenity | school or anxiety,439.15,j,49,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,443.07,j,50,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,691.03,j,51,,exam,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,711.03,f,52,,rest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,558.58,j,53,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,364.53,j,54,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,607.02,f,55,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,831.08,f,56,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,610.27,j,57,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,675.42,f,58,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,599.33,j,59,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,282.13,f,60,,river,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,605.83,f,61,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,699.83,f,62,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,498.31,j,63,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,313.15,f,64,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,606.17,j,65,,class,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,690.86,f,66,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,539.86,f,67,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,614.92,f,68,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,670.44,f,69,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,468.85,j,70,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,793.34,f,71,,gentle,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,529.72,f,72,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,656.26,f,73,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,505.68,j,74,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,557.31,j,75,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,631.19,f,76,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,534.05,f,77,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,434.05,f,78,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,605.66,f,79,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,569.86,f,80,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,530.01,f,81,,stress,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,485.86,f,82,,peace,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,761.57,f,83,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,728.26,j,84,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,692.59,j,85,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,594.1,j,86,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,553.32,f,87,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,668.68,j,88,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,674.79,j,89,,worry,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,835.51,f,90,,river,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,596.62,f,91,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,658.0,j,92,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
