trial_type,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,638.19,j,1,,class,school,nature or school,nature,school,1,
iat,nature | school,603.31,f,2,,tree,nature,nature or school,nature,school,1,
iat,nature | school,NA,NA,3,,homework,school,nature or school,nature,school,NA,
iat,nature | school,564.68,j,4,,teacher,school,nature or school,nature,school,1,
iat,nature | school,682.81,j,5,,class,school,nature or school,nature,school,1,
iat,nature | school,426.05,j,6,,grade,school,nature or school,nature,school,1,
iat,nature | school,590.92,f,7,,forest,nature,nature or school,nature,school,1,
iat,nature | school,636.35,f,8,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,650.2,f,9,,essay,school,nature or school,nature,school,0,
iat,nature | school,353.77,f,10,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,622.09,f,11,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,515.53,f,12,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,624.01,j,13,,teacher,school,nature or school,nature,school,1,
iat,nature | school,762.23,j,14,,campus,school,nature or school,nature,school,1,
iat,nature | school,456.76,j,15,,lecture,school,nature or school,nature,school,1,
iat,nature | school,693.65,f,16,,forest,nature,nature or school,nature,school,1,
iat,nature | school,614.72,j,17,,campus,school,nature or school,nature,school,1,
iat,nature | school,659.6,j,18,,lecture,school,nature or school,nature,school,1,
iat,nature | school,467.25,j,19,,campus,school,nature or school,nature,school,1,
iat,nature | school,459.09,f,20,,river,nature,nature or school,nature,school,1,
iat,nature | school,NA,NA,21,,breeze,nature,nature or school,nature,school,NA,
iat,nature | school,589.66,f,22,,forest,nature,nature or school,nature,school,1,
iat,nature | school,764.7,j,23,,homework,school,nature or school,nature,school,1,
iat,nature | school,520.81,f,24,,meadow,nature,nature or school,nature,school,1,
iat,serenity | anxiety,515.46,j,25,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,380.12,f,26,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,427.15,j,27,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,608.53,f,28,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,545.29,f,29,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,621.34,f,30,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,612.21,f,31,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,516.56,f,32,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,441.33,j,33,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,579.53,j,34,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,535.11,j,35,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,637.76,f,36,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,583.29,j,37,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,557.9,j,38,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,581.31,j,39,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,653.12,j,40,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,617.28,f,41,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,709.81,f,42,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,546.79,f,43,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,735.2,j,44,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,490.65,j,45,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,808.0,f,46,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,686.28,j,47,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,653.79,f,48,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature or anxiety | school or serenity,601.44,j,49,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
