trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,624.46,f,1,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,570.93,f,2,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,496.59,j,3,,soothe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,544.23,f,4,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,370.32,j,5,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,500.32,f,6,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,591.69,j,7,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,802.98,f,8,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,529.8,f,9,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,700.77,f,10,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,747.67,j,11,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,542.45,j,12,,calm,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,665.71,f,13,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,629.6,j,14,,relax,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,610.76,f,15,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,584.34,j,16,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,907.14,j,17,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,372.52,f,18,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,656.71,f,19,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,451.65,j,20,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,705.07,j,21,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,823.03,f,22,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,696.86,f,23,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,428.91,j,24,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,656.21,j,25,,lake,nature,nature or school,nature,school,0,
iat,nature | school,923.24,j,26,,campus,school,nature or school,nature,school,1,
iat,nature | school,834.29,f,27,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,611.19,j,28,,teacher,school,nature or school,nature,school,1,
iat,nature | school,823.03,f,29,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,610.78,f,30,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,690.68,j,31,,campus,school,nature or school,nature,school,1,
iat,nature | school,580.74,f,32,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,731.58,f,33,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,647.63,f,34,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,667.78,f,35,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,485.69,f,36,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,773.8,f,37,,tree,nature,nature or school,nature,school,1,
iat,nature | school,470.3,f,38,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,448.43,j,39,,homework,school,nature or school,nature,school,1,
iat,nature | school,731.83,j,40,,exam,school,nature or school,nature,school,1,
iat,nature | school,695.93,f,41,,lake,nature,nature or school,nature,school,1,
iat,nature | school,591.69,f,42,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,601.41,f,43,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,633.5,f,44,,forest,nature,nature or school,nature,school,1,
iat,nature | school,524.34,j,45,,homework,school,nature or school,nature,school,1,
iat,nature | school,477.6,f,46,,teacher,school,nature or school,nature,school,0,
iat,nature | school,666.1,j,47,,teacher,school,nature or school,nature,school,1,
iat,nature | school,585.53,f,48,,lake,nature,nature or school,nature,school,1,
iat,nature or anxiety | school or serenity,688.31,f,49,,unease,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,559.63,j,50,,teacher,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,658.75,f,51,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,600.14,f,52,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,682.8,f,53,,exam,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,810.79,f,54,,tree,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,723.24,j,55,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,466.39,f,56,,unease,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,633.91,f,57,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,912.7,j,58,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,765.01,j,59,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,739.62,f,60,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,536.57,j,61,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,676.61,j,62,,breathe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,588.0,f,63,,mountain,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,668.51,f,64,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,598.88,f,65,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,496.16,f,66,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,726.92,f,67,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,522.6,j,68,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,731.82,j,69,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
