trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,721.31,j,1,,forest,nature,nature or school,nature,school,0,
iat,nature | school,620.38,f,2,,river,nature,nature or school,nature,school,1,
iat,nature | school,634.35,j,3,,teacher,school,nature or school,nature,school,1,
iat,nature | school,414.08,j,4,,exam,school,nature or school,nature,school,1,
iat,nature | school,681.68,f,5,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,740.16,j,6,,grade,school,nature or school,nature,school,1,
iat,nature | school,578.09,f,7,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,530.37,f,8,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,656.31,j,9,,campus,school,nature or school,nature,school,1,
iat,nature | school,773.16,f,10,,tree,nature,nature or school,nature,school,1,
iat,nature | school,456.17,f,11,,forest,nature,nature or school,nature,school,1,
iat,nature | school,600.35,f,12,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,681.58,f,13,,lake,nature,nature or school,nature,school,1,
iat,nature | school,709.28,f,14,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,561.1,f,15,,tree,nature,nature or school,nature,school,1,
iat,nature | school,258.44,j,16,,forest,nature,nature or school,nature,school,0,
iat,nature | school,751.33,f,17,,river,nature,nature or school,nature,school,1,
iat,nature | school,439.68,j,18,,mountain,nature,nature or school,nature,school,0,
iat,nature | school,891.32,f,19,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,653.64,j,20,,campus,school,nature or school,nature,school,1,
iat,nature | school,490.36,j,21,,essay,school,nature or school,nature,school,1,
iat,nature | school,545.76,j,22,,teacher,school,nature or school,nature,school,1,
iat,nature | school,557.87,f,23,,tree,nature,nature or school,nature,school,1,
iat,nature | school,440.77,j,24,,grade,school,nature or school,nature,school,1,
iat,serenity | anxiety,589.56,j,25,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,714.22,f,26,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,495.13,f,27,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,511.02,j,28,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,531.19,f,29,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,383.93,j,30,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,590.03,j,31,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,656.16,f,32,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,757.96,f,33,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,612.33,f,34,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,524.46,f,35,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,645.93,j,36,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,598.68,f,37,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,573.73,j,38,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,868.34,f,39,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,521.87,j,40,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,610.94,f,41,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
