trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,654.19,j,1,,peace,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,848.81,f,2,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,682.29,j,3,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,536.22,f,4,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,347.11,j,5,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,516.76,j,6,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,537.06,f,7,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,518.82,j,8,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,604.13,f,9,,worry,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,481.57,f,10,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,509.04,f,11,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,480.62,f,12,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,617.03,j,13,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,700.15,j,14,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,732.13,f,15,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,499.9,j,16,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,622.58,f,17,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,783.91,f,18,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,678.17,j,19,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,531.55,f,20,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,818.79,j,21,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,778.57,f,22,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,673.55,j,23,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,525.19,f,24,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,628.36,j,25,,campus,school,nature or school,nature,school,1,
iat,nature | school,476.93,f,26,,tree,nature,nature or school,nature,school,1,
iat,nature | school,690.05,f,27,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,666.0,f,28,,river,nature,nature or school,nature,school,1,
iat,nature | school,822.31,f,29,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,574.31,f,30,,tree,nature,nature or school,nature,school,1,
iat,nature | school,367.65,f,31,,tree,nature,nature or school,nature,school,1,
iat,nature | school,718.41,f,32,,river,nature,nature or school,nature,school,1,
iat,nature | school,646.86,f,33,,forest,nature,nature or school,nature,school,1,
iat,nature | school,738.69,f,34,,tree,nature,nature or school,nature,school,1,
iat,nature | school,485.69,f,35,,lake,nature,nature or school,nature,school,1,
iat,nature | school,504.01,f,36,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,738.47,j,37,,lecture,school,nature or school,nature,school,1,
iat,nature | school,745.76,f,38,,river,nature,nature or school,nature,school,1,
iat,nature | school,592.91,j,39,,breeze,nature,nature or school,nature,school,0,
iat,nature | school,641.11,j,40,,essay,school,nature or school,nature,school,1,
iat,nature | school,559.59,f,41,,class,school,nature or school,nature,school,0,
iat,nature | school,548.17,j,42,,teacher,school,nature or school,nature,school,1,
iat,nature | school,466.16,f,43,,tree,nature,nature or school,nature,school,1,
iat,nature | school,650.97,j,44,,lecture,school,nature or school,nature,school,1,
iat,nature | school,684.89,f,45,,river,nature,nature or school,nature,school,1,
iat,nature | school,709.95,f,46,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,528.08,f,47,,grade,school,nature or school,nature,school,0,
iat,nature | school,415.15,f,48,,breeze,nature,nature or school,nature,school,1,
iat,nature or serenity | school or anxiety,835.71,f,49,,breeze,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
