trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,649.21,j,1,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,687.16,f,2,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,452.49,f,3,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,730.85,j,4,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,437.8,j,5,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,628.4,f,6,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,601.77,f,7,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,651.56,f,8,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,522.87,f,9,,worry,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,647.2,j,10,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,584.12,j,11,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,442.42,f,12,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,483.28,f,13,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,434.12,j,14,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,451.31,j,15,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,849.68,j,16,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,819.58,j,17,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,600.81,f,18,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,646.0,j,19,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,495.24,j,20,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,538.25,j,21,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,613.63,j,22,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,469.04,f,23,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,702.95,j,24,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,466.03,j,25,,essay,school,nature or school,nature,school,1,
iat,nature | school,534.82,j,26,,exam,school,nature or school,nature,school,1,
iat,nature | school,335.95,f,27,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,790.6,f,28,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,770.19,j,29,,campus,school,nature or school,nature,school,1,
iat,nature | school,545.44,f,30,,campus,school,nature or school,nature,school,0,
iat,nature | school,676.28,j,31,,essay,school,nature or school,nature,school,1,
iat,nature | school,769.0,j,32,,exam,school,nature or school,nature,school,1,
iat,nature | school,570.84,j,33,,forest,nature,nature or school,nature,school,0,
iat,nature | school,471.88,f,34,,campus,school,nature or school,nature,school,0,
iat,nature | school,466.75,j,35,,exam,school,nature or school,nature,school,1,
iat,nature | school,739.34,j,36,,essay,school,nature or school,nature,school,1,
iat,nature | school,360.77,f,37,,lake,nature,nature or school,nature,school,1,
iat,nature | school,485.0,f,38,,lecture,school,nature or school,nature,school,0,
iat,nature | school,659.37,j,39,,class,school,nature or school,nature,school,1,
iat,nature | school,677.25,f,40,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,759.15,j,41,,homework,school,nature or school,nature,school,1,
iat,nature | school,473.9,f,42,,river,nature,nature or school,nature,school,1,
iat,nature | school,647.77,f,43,,river,nature,nature or school,nature,school,1,
iat,nature | school,696.1,f,44,,forest,nature,nature or school,nature,school,1,
iat,nature | school,823.64,f,45,,lake,nature,nature or school,nature,school,1,
iat,nature | school,527.85,j,46,,exam,school,nature or school,nature,school,1,
iat,nature | school,619.52,f,47,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,655.83,f,48,,ocean,nature,nature or school,nature,school,1,
iat,nature or anxiety | school or serenity,701.2,f,49,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,457.8,j,50,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,625.0,f,51,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,729.74,j,52,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,674.48,f,53,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,463.01,f,54,,tree,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,751.94,f,55,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,629.34,j,56,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,555.56,f,57,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,576.34,f,58,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,711.85,j,59,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,662.58,f,60,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,650.8,j,61,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,416.91,f,62,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,601.41,f,63,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,602.88,j,64,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,606.67,f,65,,mountain,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,636.42,j,66,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,753.46,f,67,,stress,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
