trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,569.74,f,1,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,560.88,j,2,,essay,school,nature or school,nature,school,1,
iat,nature | school,595.31,f,3,,forest,nature,nature or school,nature,school,1,
iat,nature | school,855.48,f,4,,forest,nature,nature or school,nature,school,1,
iat,nature | school,436.08,f,5,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,576.99,j,6,,grade,school,nature or school,nature,school,1,
iat,nature | school,648.32,j,7,,campus,school,nature or school,nature,school,1,
iat,nature | school,899.63,j,8,,teacher,school,nature or school,nature,school,1,
iat,nature | school,800.98,f,9,,forest,nature,nature or school,nature,school,1,
iat,nature | school,648.15,f,10,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,545.27,j,11,,campus,school,nature or school,nature,school,1,
iat,nature | school,365.23,f,12,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,561.38,j,13,,exam,school,nature or school,nature,school,1,
iat,nature | school,447.3,f,14,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,661.71,j,15,,lecture,school,nature or school,nature,school,1,
iat,nature | school,595.0,j,16,,grade,school,nature or school,nature,school,1,
iat,nature | school,820.1,f,17,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,705.26,j,18,,grade,school,nature or school,nature,school,1,
iat,nature | school,595.18,f,19,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,628.24,f,20,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,468.66,j,21,,homework,school,nature or school,nature,school,1,
iat,nature | school,477.68,f,22,,lake,nature,nature or school,nature,school,1,
iat,nature | school,709.62,f,23,,forest,nature,nature or school,nature,school,1,
iat,nature | school,762.54,j,24,,lecture,school,nature or school,nature,school,1,
iat,serenity | anxiety,662.1,f,25,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,616.91,f,26,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,841.93,j,27,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,580.85,f,28,,panic,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,645.99,f,29,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,503.37,f,30,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
