trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,941.88,j,1,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,576.98,f,2,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,622.36,f,3,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,576.78,f,4,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,756.9,j,5,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,579.72,f,6,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,358.78,j,7,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,627.97,j,8,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,580.79,f,9,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,679.75,f,10,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,379.99,f,11,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,602.24,f,12,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,640.22,f,13,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,390.59,f,14,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,496.93,f,15,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,737.42,f,16,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,660.32,f,17,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,655.8,j,18,,peace,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,859.34,j,19,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,399.04,f,20,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,529.45,f,21,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,528.52,j,22,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,667.67,f,23,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,664.59,j,24,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,490.28,f,25,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,487.55,j,26,,grade,school,nature or school,nature,school,1,
iat,nature | school,639.58,f,27,,river,nature,nature or school,nature,school,1,
iat,nature | school,719.79,f,28,,river,nature,nature or school,nature,school,1,
iat,nature | school,696.13,f,29,,forest,nature,nature or school,nature,school,1,
iat,nature | school,504.25,f,30,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,715.19,j,31,,teacher,school,nature or school,nature,school,1,
iat,nature | school,715.53,j,32,,teacher,school,nature or school,nature,school,1,
iat,nature | school,579.07,j,33,,essay,school,nature or school,nature,school,1,
iat,nature | school,555.25,f,34,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,535.18,f,35,,tree,nature,nature or school,nature,school,1,
iat,nature | school,452.64,f,36,,tree,nature,nature or school,nature,school,1,
iat,nature | school,671.34,j,37,,class,school,nature or school,nature,school,1,
iat,nature | school,424.14,f,38,,river,nature,nature or school,nature,school,1,
iat,nature | school,483.91,j,39,,lecture,school,nature or school,nature,school,1,
iat,nature | school,701.28,f,40,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,742.22,f,41,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,513.66,j,42,,campus,school,nature or school,nature,school,1,
iat,nature | school,860.75,j,43,,class,school,nature or school,nature,school,1,
iat,nature | school,457.07,j,44,,teacher,school,nature or school,nature,school,1,
iat,nature | school,513.6,j,45,,teacher,school,nature or school,nature,school,1,
iat,nature | school,644.01,f,46,,forest,nature,nature or school,nature,school,1,
iat,nature | school,611.1,f,47,,lake,nature,nature or school,nature,school,1,
iat,nature | school,560.81,f,48,,breeze,nature,nature or school,nature,school,1,
iat,nature or serenity | school or anxiety,608.97,j,49,,panic,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,896.86,j,50,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,656.83,j,51,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,580.79,f,52,,peace,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,718.45,j,53,,worry,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,605.99,j,54,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,742.0,f,55,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,462.3,f,56,,gentle,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,553.23,j,57,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,649.02,j,58,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
