trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,681.89,j,1,,teacher,school,nature or school,nature,school,1,
iat,nature | school,891.71,j,2,,campus,school,nature or school,nature,school,1,
iat,nature | school,659.54,f,3,,homework,school,nature or school,nature,school,0,
iat,nature | school,675.88,f,4,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,623.48,j,5,,homework,school,nature or school,nature,school,1,
iat,nature | school,648.87,f,6,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,495.24,j,7,,class,school,nature or school,nature,school,1,
iat,nature | school,725.23,j,8,,campus,school,nature or school,nature,school,1,
iat,nature | school,773.68,f,9,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,569.11,f,10,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,173.67,f,11,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,457.89,j,12,,lecture,school,nature or school,nature,school,1,
iat,nature | school,599.66,j,13,,class,school,nature or school,nature,school,1,
iat,nature | school,537.4,f,14,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,356.44,j,15,,class,school,nature or school,nature,school,1,
iat,nature | school,625.72,j,16,,lecture,school,nature or school,nature,school,1,
iat,nature | school,529.48,j,17,,homework,school,nature or school,nature,school,1,
iat,nature | school,604.93,f,18,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,434.48,f,19,,tree,nature,nature or school,nature,school,1,
iat,nature | school,632.55,j,20,,exam,school,nature or school,nature,school,1,
iat,nature | school,653.82,j,21,,class,school,nature or school,nature,school,1,
iat,nature | school,704.97,f,22,,tree,nature,nature or school,nature,school,1,
iat,nature | school,512.29,j,23,,essay,school,nature or school,nature,school,1,
iat,nature | school,521.22,f,24,,river,nature,nature or school,nature,school,1,
iat,serenity | anxiety,495.42,j,25,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,594.68,j,26,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,734.3,j,27,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,527.51,f,28,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,547.75,j,29,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,530.77,f,30,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,580.32,j,31,,calm,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,434.16,f,32,,unease,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,507.44,j,33,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,500.92,f,34,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
