trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,669.09,j,1,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,590.33,j,2,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,596.1,f,3,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,502.04,j,4,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,725.74,f,5,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,691.75,j,6,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,685.59,f,7,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,800.67,j,8,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,608.95,f,9,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,872.62,f,10,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,731.63,f,11,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,647.22,j,12,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,541.05,f,13,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,690.62,f,14,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,484.71,j,15,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,485.44,j,16,,quiet,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,531.85,j,17,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,590.28,f,18,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,440.07,f,19,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,468.81,j,20,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,762.64,j,21,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,746.3,j,22,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,732.26,j,23,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,677.94,f,24,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,871.67,f,25,,river,nature,nature or school,nature,school,1,
iat,nature | school,484.23,j,26,,forest,nature,nature or school,nature,school,0,
iat,nature | school,638.93,f,27,,teacher,school,nature or school,nature,school,0,
iat,nature | school,565.99,f,28,,tree,nature,nature or school,nature,school,1,
iat,nature | school,399.07,j,29,,essay,school,nature or school,nature,school,1,
iat,nature | school,569.41,j,30,,campus,school,nature or school,nature,school,1,
iat,nature | school,573.33,j,31,,campus,school,nature or school,nature,school,1,
iat,nature | school,507.46,f,32,,forest,nature,nature or school,nature,school,1,
iat,nature | school,579.36,f,33,,lake,nature,nature or school,nature,school,1,
iat,nature | school,471.05,j,34,,class,school,nature or school,nature,school,1,
iat,nature | school,695.96,f,35,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,502.4,f,36,,essay,school,nature or school,nature,school,0,
iat,nature | school,713.1,j,37,,lecture,school,nature or school,nature,school,1,
iat,nature | school,697.98,f,38,,grade,school,nature or school,nature,school,0,
iat,nature | school,575.75,f,39,,forest,nature,nature or school,nature,school,1,
iat,nature | school,835.24,j,40,,grade,school,nature or school,nature,school,1,
iat,nature | school,813.03,j,41,,essay,school,nature or school,nature,school,1,
iat,nature | school,604.78,j,42,,exam,school,nature or school,nature,school,1,
iat,nature | school,472.08,j,43,,lecture,school,nature or school,nature,school,1,
iat,nature | school,700.85,j,44,,campus,school,nature or school,nature,school,1,
