trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,730.08,f,1,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,800.32,f,2,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,267.05,f,3,,lake,nature,nature or school,nature,school,1,
iat,nature | school,474.65,f,4,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,688.08,j,5,,campus,school,nature or school,nature,school,1,
iat,nature | school,559.28,f,6,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,740.26,j,7,,grade,school,nature or school,nature,school,1,
iat,nature | school,765.31,j,8,,teacher,school,nature or school,nature,school,1,
iat,nature | school,576.47,f,9,,lake,nature,nature or school,nature,school,1,
iat,nature | school,713.59,j,10,,campus,school,nature or school,nature,school,1,
iat,nature | school,729.4,j,11,,campus,school,nature or school,nature,school,1,
iat,nature | school,680.48,f,12,,lake,nature,nature or school,nature,school,1,
iat,nature | school,473.68,f,13,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,646.73,f,14,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,506.33,f,15,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,816.72,f,16,,river,nature,nature or school,nature,school,1,
iat,nature | school,653.95,j,17,,class,school,nature or school,nature,school,1,
iat,nature | school,549.56,j,18,,grade,school,nature or school,nature,school,1,
iat,nature | school,695.23,f,19,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,674.13,j,20,,grade,school,nature or school,nature,school,1,
iat,nature | school,362.74,j,21,,class,school,nature or school,nature,school,1,
iat,nature | school,639.87,f,22,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,433.66,j,23,,class,school,nature or school,nature,school,1,
iat,nature | school,510.79,j,24,,campus,school,nature or school,nature,school,1,
iat,serenity | anxiety,842.21,j,25,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,403.92,j,26,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,597.71,f,27,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,779.23,f,28,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,654.38,f,29,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,446.82,f,30,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,696.89,j,31,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,466.08,f,32,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,545.37,f,33,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,407.1,j,34,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,511.54,f,35,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,456.45,f,36,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,522.31,j,37,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,739.98,j,38,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,722.63,f,39,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,570.16,f,40,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,637.44,j,41,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,486.21,j,42,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,635.13,f,43,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,635.38,f,44,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,648.63,j,45,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,567.33,j,46,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,840.35,j,47,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,658.14,f,48,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature or anxiety | school or serenity,813.49,j,49,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,562.25,j,50,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,660.64,f,51,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,852.12,j,52,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,770.95,j,53,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,731.52,f,54,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
