trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,596.15,f,1,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,568.85,j,2,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,499.2,f,3,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,520.54,j,4,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,496.54,f,5,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,537.19,j,6,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,497.69,f,7,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,434.88,f,8,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,606.19,f,9,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,645.79,j,10,,soothe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,639.23,f,11,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,544.73,j,12,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,791.05,j,13,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,533.66,f,14,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,631.27,j,15,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,556.15,j,16,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,506.6,f,17,,fear,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,689.38,j,18,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,723.97,j,19,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,883.72,j,20,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,568.14,j,21,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,471.8,f,22,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,715.66,j,23,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,626.1,j,24,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,298.58,j,25,,homework,school,nature or school,nature,school,1,
iat,nature | school,472.28,j,26,,campus,school,nature or school,nature,school,1,
iat,nature | school,675.18,j,27,,essay,school,nature or school,nature,school,1,
iat,nature | school,421.67,f,28,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,752.04,j,29,,essay,school,nature or school,nature,school,1,
iat,nature | school,471.63,j,30,,essay,school,nature or school,nature,school,1,
iat,nature | school,591.96,f,31,,lake,nature,nature or school,nature,school,1,
iat,nature | school,503.89,j,32,,class,school,nature or school,nature,school,1,
iat,nature | school,704.78,j,33,,exam,school,nature or school,nature,school,1,
iat,nature | school,691.89,f,34,,lake,nature,nature or school,nature,school,1,
iat,nature | school,791.81,f,35,,river,nature,nature or school,nature,school,1,
iat,nature | school,718.28,f,36,,river,nature,nature or school,nature,school,1,
iat,nature | school,677.1,f,37,,river,nature,nature or school,nature,school,1,
iat,nature | school,410.99,j,38,,class,school,nature or school,nature,school,1,
iat,nature | school,414.1,j,39,,exam,school,nature or school,nature,school,1,
iat,nature | school,662.64,j,40,,teacher,school,nature or school,nature,school,1,
iat,nature | school,732.93,j,41,,essay,school,nature or school,nature,school,1,
iat,nature | school,589.59,f,42,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,809.09,j,43,,campus,school,nature or school,nature,school,1,
iat,nature | school,474.86,f,44,,tree,nature,nature or school,nature,school,1,
iat,nature | school,406.76,j,45,,essay,school,nature or school,nature,school,1,
iat,nature | school,799.68,f,46,,forest,nature,nature or school,nature,school,1,
iat,nature | school,445.54,j,47,,ocean,nature,nature or school,nature,school,0,
iat,nature | school,612.18,f,48,,tree,nature,nature or school,nature,school,1,
iat,nature or serenity | school or anxiety,521.73,j,49,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,735.71,j,50,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,799.45,f,51,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,485.96,j,52,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,763.84,j,53,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,627.39,f,54,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
