trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,625.19,f,1,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,519.36,j,2,,lecture,school,nature or school,nature,school,1,
iat,nature | school,467.39,j,3,,teacher,school,nature or school,nature,school,1,
iat,nature | school,462.72,f,4,,lake,nature,nature or school,nature,school,1,
iat,nature | school,674.42,f,5,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,545.81,f,6,,teacher,school,nature or school,nature,school,0,
iat,nature | school,813.23,f,7,,forest,nature,nature or school,nature,school,1,
iat,nature | school,791.53,f,8,,forest,nature,nature or school,nature,school,1,
iat,nature | school,887.18,j,9,,homework,school,nature or school,nature,school,1,
iat,nature | school,495.91,f,10,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,566.25,f,11,,forest,nature,nature or school,nature,school,1,
iat,nature | school,690.2,f,12,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,695.39,f,13,,river,nature,nature or school,nature,school,1,
iat,nature | school,703.54,f,14,,river,nature,nature or school,nature,school,1,
iat,nature | school,533.92,f,15,,lake,nature,nature or school,nature,school,1,
iat,nature | school,582.75,j,16,,essay,school,nature or school,nature,school,1,
iat,nature | school,574.51,j,17,,campus,school,nature or school,nature,school,1,
iat,nature | school,530.47,j,18,,grade,school,nature or school,nature,school,1,
iat,nature | school,597.87,j,19,,lecture,school,nature or school,nature,school,1,
iat,nature | school,625.42,j,20,,essay,school,nature or school,nature,school,1,
iat,nature | school,466.61,j,21,,exam,school,nature or school,nature,school,1,
iat,nature | school,667.9,f,22,,river,nature,nature or school,nature,school,1,
iat,nature | school,676.08,j,23,,campus,school,nature or school,nature,school,1,
iat,nature | school,451.79,j,24,,teacher,school,nature or school,nature,school,1,
iat,serenity | anxiety,487.23,f,25,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,434.33,f,26,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,753.6,j,27,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,643.56,f,28,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,555.53,j,29,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,473.36,j,30,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,577.21,j,31,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,551.49,f,32,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,499.23,f,33,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,645.9,f,34,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,634.99,j,35,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,433.28,f,36,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,616.4,j,37,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,597.92,f,38,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,659.27,j,39,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,649.47,j,40,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,623.26,f,41,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,583.67,f,42,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,728.25,j,43,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,706.6,f,44,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,490.55,j,45,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,426.35,f,46,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,632.21,j,47,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,461.21,j,48,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature or anxiety | school or serenity,774.75,j,49,,exam,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
