trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,491.17,f,1,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,729.38,j,2,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,429.49,f,3,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,675.96,j,4,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,662.77,j,5,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,581.7,f,6,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,552.69,j,7,,breathe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,558.34,f,8,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,625.32,j,9,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,548.48,f,10,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,530.94,f,11,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,565.89,j,12,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,557.94,j,13,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,605.48,j,14,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,569.94,f,15,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,718.91,f,16,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,682.54,f,17,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,768.96,f,18,,stress,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,452.8,j,19,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,706.62,f,20,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,622.88,f,21,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,569.88,j,22,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,599.55,f,23,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,633.09,f,24,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,488.96,j,25,,campus,school,nature or school,nature,school,1,
iat,nature | school,287.93,j,26,,class,school,nature or school,nature,school,1,
iat,nature | school,461.25,f,27,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,528.09,f,28,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,733.1,j,29,,teacher,school,nature or school,nature,school,1,
iat,nature | school,611.0,f,30,,lake,nature,nature or school,nature,school,1,
iat,nature | school,514.1,f,31,,tree,nature,nature or school,nature,school,1,
iat,nature | school,683.26,f,32,,forest,nature,nature or school,nature,school,1,
iat,nature | school,694.63,j,33,,teacher,school,nature or school,nature,school,1,
iat,nature | school,440.93,f,34,,tree,nature,nature or school,nature,school,1,
iat,nature | school,654.26,j,35,,lecture,school,nature or school,nature,school,1,
iat,nature | school,568.21,j,36,,teacher,school,nature or school,nature,school,1,
iat,nature | school,434.12,j,37,,campus,school,nature or school,nature,school,1,
iat,nature | school,474.47,f,38,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,620.46,f,39,,tree,nature,nature or school,nature,school,1,
iat,nature | school,631.27,j,40,,homework,school,nature or school,nature,school,1,
iat,nature | school,577.37,f,41,,forest,nature,nature or school,nature,school,1,
iat,nature | school,624.2,j,42,,exam,school,nature or school,nature,school,1,
iat,nature | school,522.29,j,43,,mountain,nature,nature or school,nature,school,0,
iat,nature | school,546.15,j,44,,grade,school,nature or school,nature,school,1,
iat,nature | school,602.23,j,45,,essay,school,nature or school,nature,school,1,
iat,nature | school,706.47,f,46,,river,nature,nature or school,nature,school,1,
iat,nature | school,539.91,j,47,,grade,school,nature or school,nature,school,1,
iat,nature | school,667.09,f,48,,tree,nature,nature or school,nature,school,1,
iat,nature or anxiety | school or serenity,400.01,j,49,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,530.87,j,50,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,815.67,f,51,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,864.67,j,52,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,789.95,j,53,,nervous,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,625.24,f,54,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,694.27,f,55,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,845.72,f,56,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,698.75,j,57,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,647.81,j,58,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,678.1,f,59,,mountain,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,572.87,f,60,,nervous,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,684.31,f,61,,tree,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,876.47,j,62,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,723.58,j,63,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,422.77,f,64,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,822.59,f,65,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,611.13,f,66,,nervous,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,713.54,f,67,,unease,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,559.37,f,68,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,764.05,f,69,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,521.63,j,70,,teacher,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,663.94,j,71,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,383.24,f,72,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,761.75,j,73,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,832.38,f,74,,river,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,574.31,j,75,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,516.42,j,76,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,611.03,j,77,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,530.36,j,78,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,615.18,f,79,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,669.41,f,80,,stress,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,828.99,j,81,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,612.16,j,82,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,678.25,f,83,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,796.09,j,84,,exam,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,598.48,j,85,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,654.5,f,86,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,732.65,f,87,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,602.32,f,88,,breathe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,621.14,j,89,,breathe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,697.9,j,90,,breathe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,567.48,j,91,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,530.14,j,92,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,545.77,f,93,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,684.57,j,94,,exam,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,613.05,j,95,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,714.34,f,96,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,635.58,f,97,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,822.23,j,98,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,727.44,j,99,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,773.23,f,100,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,778.19,j,101,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,545.38,f,102,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,556.71,j,103,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,706.74,j,104,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,638.62,j,105,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,806.31,j,106,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,702.35,j,107,,breathe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,656.4,f,108,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,529.28,f,109,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,816.96,f,110,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,753.98,f,111,,river,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,482.87,j,112,,teacher,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or serenity | school or anxiety,691.93,j,113,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,661.94,f,114,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,600.8,j,115,,worry,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,606.69,f,116,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,602.53,f,117,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,683.84,f,118,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,498.74,f,119,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,617.46,f,120,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,616.61,f,121,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,579.24,j,122,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,535.81,f,123,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,512.1,j,124,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,536.0,j,125,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,413.14,j,126,,peace,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,706.75,f,127,,breeze,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,597.39,j,128,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
