trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,683.67,f,1,,lake,nature,nature or school,nature,school,1,
iat,nature | school,606.2,j,2,,exam,school,nature or school,nature,school,1,
iat,nature | school,444.74,f,3,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,606.46,f,4,,essay,school,nature or school,nature,school,0,
iat,nature | school,483.21,f,5,,forest,nature,nature or school,nature,school,1,
iat,nature | school,441.58,f,6,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,557.2,f,7,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,713.04,f,8,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,619.36,j,9,,exam,school,nature or school,nature,school,1,
iat,nature | school,391.08,f,10,,tree,nature,nature or school,nature,school,1,
iat,nature | school,662.89,f,11,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,569.53,f,12,,river,nature,nature or school,nature,school,1,
iat,nature | school,469.13,j,13,,teacher,school,nature or school,nature,school,1,
iat,nature | school,686.16,j,14,,campus,school,nature or school,nature,school,1,
iat,nature | school,717.48,j,15,,grade,school,nature or school,nature,school,1,
iat,nature | school,462.21,j,16,,homework,school,nature or school,nature,school,1,
iat,nature | school,682.86,j,17,,exam,school,nature or school,nature,school,1,
iat,nature | school,674.85,f,18,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,473.17,j,19,,essay,school,nature or school,nature,school,1,
iat,nature | school,698.99,f,20,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,432.84,f,21,,tree,nature,nature or school,nature,school,1,
iat,nature | school,764.11,f,22,,river,nature,nature or school,nature,school,1,
iat,nature | school,710.6,j,23,,breeze,nature,nature or school,nature,school,0,
iat,nature | school,542.94,j,24,,teacher,school,nature or school,nature,school,1,
iat,serenity | anxiety,646.67,j,25,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,516.86,f,26,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,678.0,f,27,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,621.32,f,28,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,721.64,j,29,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,664.07,f,30,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,622.65,f,31,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
