trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,400.74,j,1,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,995.69,f,2,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,666.46,f,3,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,618.38,j,4,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,560.96,j,5,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,486.01,j,6,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,696.25,f,7,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,579.95,f,8,,stress,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,630.29,j,9,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,503.32,f,10,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,426.7,f,11,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,478.91,j,12,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,512.36,f,13,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,483.95,j,14,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,473.45,f,15,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,620.8,f,16,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,415.87,f,17,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,572.84,f,18,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,484.62,j,19,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,673.36,j,20,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,606.89,f,21,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,605.81,j,22,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,591.35,f,23,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,594.28,j,24,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,624.23,f,25,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,640.73,j,26,,campus,school,nature or school,nature,school,1,
iat,nature | school,690.24,j,27,,essay,school,nature or school,nature,school,1,
iat,nature | school,603.13,j,28,,lecture,school,nature or school,nature,school,1,
iat,nature | school,643.05,j,29,,homework,school,nature or school,nature,school,1,
iat,nature | school,658.37,f,30,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,501.35,f,31,,forest,nature,nature or school,nature,school,1,
iat,nature | school,683.27,f,32,,lake,nature,nature or school,nature,school,1,
iat,nature | school,491.63,j,33,,grade,school,nature or school,nature,school,1,
iat,nature | school,736.09,j,34,,teacher,school,nature or school,nature,school,1,
iat,nature | school,709.06,f,35,,tree,nature,nature or school,nature,school,1,
iat,nature | school,637.6,j,36,,campus,school,nature or school,nature,school,1,
iat,nature | school,866.02,j,37,,homework,school,nature or school,nature,school,1,
iat,nature | school,491.18,j,38,,lecture,school,nature or school,nature,school,1,
iat,nature | school,549.0,j,39,,essay,school,nature or school,nature,school,1,
iat,nature | school,768.01,f,40,,forest,nature,nature or school,nature,school,1,
iat,nature | school,760.59,f,41,,lake,nature,nature or school,nature,school,1,
iat,nature | school,457.68,f,42,,river,nature,nature or school,nature,school,1,
