trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,526.05,j,1,,homework,school,nature or school,nature,school,1,
iat,nature | school,560.84,j,2,,homework,school,nature or school,nature,school,1,
iat,nature | school,676.52,f,3,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,493.99,j,4,,lecture,school,nature or school,nature,school,1,
iat,nature | school,633.55,f,5,,forest,nature,nature or school,nature,school,1,
iat,nature | school,498.84,j,6,,teacher,school,nature or school,nature,school,1,
iat,nature | school,570.81,j,7,,class,school,nature or school,nature,school,1,
iat,nature | school,651.8,f,8,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,800.12,j,9,,teacher,school,nature or school,nature,school,1,
iat,nature | school,455.59,f,10,,river,nature,nature or school,nature,school,1,
iat,nature | school,464.96,j,11,,class,school,nature or school,nature,school,1,
iat,nature | school,438.16,f,12,,lake,nature,nature or school,nature,school,1,
iat,nature | school,417.35,f,13,,tree,nature,nature or school,nature,school,1,
iat,nature | school,321.31,f,14,,forest,nature,nature or school,nature,school,1,
iat,nature | school,644.21,j,15,,lecture,school,nature or school,nature,school,1,
iat,nature | school,803.26,j,16,,essay,school,nature or school,nature,school,1,
iat,nature | school,460.56,f,17,,forest,nature,nature or school,nature,school,1,
iat,nature | school,825.52,f,18,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,429.37,j,19,,essay,school,nature or school,nature,school,1,
iat,nature | school,696.86,j,20,,lecture,school,nature or school,nature,school,1,
iat,nature | school,684.75,f,21,,river,nature,nature or school,nature,school,1,
iat,nature | school,479.76,f,22,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,627.08,f,23,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,562.42,f,24,,lake,nature,nature or school,nature,school,1,
iat,serenity | anxiety,530.8,j,25,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,636.68,f,26,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,686.42,j,27,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,1038.12,j,28,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,584.45,f,29,,nervous,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,458.24,j,30,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,799.43,j,31,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,576.13,j,32,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,612.88,j,33,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,492.66,f,34,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,618.12,j,35,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,667.03,j,36,,soothe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,572.17,j,37,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,774.38,j,38,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,489.94,f,39,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,658.91,f,40,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,663.22,j,41,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,587.97,j,42,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,600.68,j,43,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,653.4,j,44,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,323.17,j,45,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,761.85,j,46,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,682.02,f,47,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,480.39,j,48,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature or anxiety | school or serenity,985.39,j,49,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,614.41,j,50,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,630.04,f,51,,river,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,705.38,f,52,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,531.62,j,53,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,654.98,j,54,,unease,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,634.57,j,55,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,916.18,j,56,,unease,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,689.22,f,57,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
