trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,630.11,f,1,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,680.66,j,2,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,714.67,f,3,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,571.97,f,4,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,555.3,f,5,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,645.03,f,6,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,642.71,f,7,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,610.12,j,8,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,571.39,f,9,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,586.28,f,10,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,652.91,f,11,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,742.16,j,12,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,626.26,j,13,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,424.14,j,14,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,903.67,j,15,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,695.99,j,16,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,708.87,j,17,,soothe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,658.25,j,18,,rest,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,438.35,f,19,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,835.46,f,20,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,564.3,j,21,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,757.78,j,22,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,670.31,f,23,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,477.36,j,24,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,585.69,j,25,,tree,nature,nature or school,nature,school,0,
iat,nature | school,753.44,j,26,,teacher,school,nature or school,nature,school,1,
iat,nature | school,771.69,f,27,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,491.36,f,28,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,676.25,f,29,,teacher,school,nature or school,nature,school,0,
iat,nature | school,643.0,f,30,,tree,nature,nature or school,nature,school,1,
iat,nature | school,596.94,j,31,,exam,school,nature or school,nature,school,1,
iat,nature | school,566.59,j,32,,exam,school,nature or school,nature,school,1,
iat,nature | school,495.79,j,33,,campus,school,nature or school,nature,school,1,
iat,nature | school,780.16,f,34,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,549.18,j,35,,class,school,nature or school,nature,school,1,
iat,nature | school,691.82,j,36,,homework,school,nature or school,nature,school,1,
iat,nature | school,882.61,f,37,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,692.34,j,38,,exam,school,nature or school,nature,school,1,
iat,nature | school,542.1,f,39,,tree,nature,nature or school,nature,school,1,
iat,nature | school,543.85,j,40,,essay,school,nature or school,nature,school,1,
iat,nature | school,497.96,j,41,,teacher,school,nature or school,nature,school,1,
iat,nature | school,454.52,f,42,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,597.1,j,43,,essay,school,nature or school,nature,school,1,
iat,nature | school,701.66,f,44,,tree,nature,nature or school,nature,school,1,
iat,nature | school,721.07,j,45,,river,nature,nature or school,nature,school,0,
iat,nature | school,541.5,j,46,,grade,school,nature or school,nature,school,1,
iat,nature | school,685.99,f,47,,lake,nature,nature or school,nature,school,1,
iat,nature | school,558.16,f,48,,river,nature,nature or school,nature,school,1,
iat,nature or anxiety | school or serenity,850.91,j,49,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,646.83,f,50,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,818.41,f,51,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,694.56,f,52,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,649.17,j,53,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,631.83,f,54,,mountain,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,474.28,f,55,,nervous,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,642.38,f,56,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,765.79,f,57,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,707.44,f,58,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,539.44,f,59,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,722.28,f,60,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,664.62,f,61,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,869.26,j,62,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,577.31,f,63,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,630.91,f,64,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,712.87,f,65,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,736.77,f,66,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,705.21,j,67,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,605.34,j,68,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,701.54,j,69,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,706.89,f,70,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,678.49,j,71,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,736.66,j,72,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
