trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,523.46,j,1,,class,school,nature or school,nature,school,1,
iat,nature | school,563.81,j,2,,campus,school,nature or school,nature,school,1,
iat,nature | school,453.99,f,3,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,651.21,f,4,,exam,school,nature or school,nature,school,0,
iat,nature | school,393.35,j,5,,teacher,school,nature or school,nature,school,1,
iat,nature | school,518.73,j,6,,homework,school,nature or school,nature,school,1,
iat,nature | school,747.08,f,7,,tree,nature,nature or school,nature,school,1,
iat,nature | school,557.28,j,8,,homework,school,nature or school,nature,school,1,
iat,nature | school,723.04,f,9,,forest,nature,nature or school,nature,school,1,
iat,nature | school,331.05,j,10,,campus,school,nature or school,nature,school,1,
iat,nature | school,475.31,f,11,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,560.88,f,12,,lake,nature,nature or school,nature,school,1,
iat,nature | school,643.47,f,13,,lake,nature,nature or school,nature,school,1,
iat,nature | school,812.58,f,14,,lake,nature,nature or school,nature,school,1,
iat,nature | school,568.25,f,15,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,662.28,f,16,,tree,nature,nature or school,nature,school,1,
iat,nature | school,576.46,f,17,,tree,nature,nature or school,nature,school,1,
iat,nature | school,645.27,f,18,,forest,nature,nature or school,nature,school,1,
iat,nature | school,617.23,f,19,,tree,nature,nature or school,nature,school,1,
iat,nature | school,609.29,f,20,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,513.72,j,21,,teacher,school,nature or school,nature,school,1,
iat,nature | school,404.71,f,22,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,511.91,f,23,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,679.91,j,24,,homework,school,nature or school,nature,school,1,
iat,serenity | anxiety,511.73,f,25,,alarm,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,793.77,f,26,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,460.58,j,27,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,466.91,f,28,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,630.52,f,29,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,614.01,f,30,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,587.71,j,31,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,512.29,j,32,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,488.87,f,33,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,596.64,j,34,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,697.78,f,35,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,569.19,j,36,,gentle,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,843.87,j,37,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,642.39,j,38,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,612.33,j,39,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,667.03,f,40,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,568.31,f,41,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,514.42,j,42,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,739.71,f,43,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,734.39,j,44,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,684.36,j,45,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,415.12,j,46,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,561.02,j,47,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,662.74,f,48,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature or serenity | school or anxiety,466.91,j,49,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,343.74,j,50,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,546.08,f,51,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,379.01,f,52,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,620.33,f,53,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,585.55,j,54,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,608.13,f,55,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,945.06,f,56,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,531.17,j,57,,alarm,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,494.44,j,58,,exam,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,775.38,f,59,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,498.05,f,60,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,576.36,f,61,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,781.32,f,62,,forest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,504.91,j,63,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,603.05,f,64,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,566.93,f,65,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,582.95,f,66,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,490.25,f,67,,river,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,863.31,j,68,,stress,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,567.89,j,69,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,622.98,f,70,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,652.94,f,71,,river,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,504.04,f,72,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,649.62,f,73,,forest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,798.02,j,74,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,464.55,j,75,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,692.43,j,76,,exam,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,517.44,j,77,,alarm,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,577.87,j,78,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,535.8,f,79,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,503.72,j,80,,class,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,607.93,j,81,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,566.17,f,82,,rest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,545.73,j,83,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,638.06,j,84,,stress,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
