trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,800.33,j,1,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,808.38,j,2,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,485.64,f,3,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,699.19,f,4,,panic,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,563.06,f,5,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,707.49,f,6,,tension,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,722.36,f,7,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,477.51,j,8,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,581.07,j,9,,rest,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,698.27,f,10,,unease,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,582.71,j,11,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,502.37,j,12,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,381.78,j,13,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,698.4,f,14,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,639.53,j,15,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,495.45,f,16,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,771.09,j,17,,relax,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,572.65,f,18,,panic,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,476.98,j,19,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,712.57,f,20,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,587.76,f,21,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,539.44,j,22,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,599.57,j,23,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,608.08,f,24,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,609.98,f,25,,meadow,nature,nature or school,nature,school,1,
