trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,671.77,j,1,,campus,school,nature or school,nature,school,1,
iat,nature | school,590.75,f,2,,lecture,school,nature or school,nature,school,0,
iat,nature | school,451.09,j,3,,lake,nature,nature or school,nature,school,0,
iat,nature | school,633.04,f,4,,river,nature,nature or school,nature,school,1,
iat,nature | school,592.42,j,5,,class,school,nature or school,nature,school,1,
iat,nature | school,669.68,j,6,,lecture,school,nature or school,nature,school,1,
iat,nature | school,516.58,f,7,,river,nature,nature or school,nature,school,1,
iat,nature | school,569.26,j,8,,class,school,nature or school,nature,school,1,
iat,nature | school,449.69,f,9,,tree,nature,nature or school,nature,school,1,
iat,nature | school,717.55,j,10,,class,school,nature or school,nature,school,1,
iat,nature | school,598.11,j,11,,exam,school,nature or school,nature,school,1,
iat,nature | school,748.28,f,12,,tree,nature,nature or school,nature,school,1,
iat,nature | school,250.74,f,13,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,657.53,f,14,,tree,nature,nature or school,nature,school,1,
iat,nature | school,548.31,f,15,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,920.05,j,16,,grade,school,nature or school,nature,school,1,
iat,nature | school,383.5,j,17,,grade,school,nature or school,nature,school,1,
iat,nature | school,369.57,f,18,,river,nature,nature or school,nature,school,1,
iat,nature | school,757.14,f,19,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,695.72,j,20,,teacher,school,nature or school,nature,school,1,
iat,nature | school,728.31,j,21,,lecture,school,nature or school,nature,school,1,
iat,nature | school,547.93,f,22,,grade,school,nature or school,nature,school,0,
iat,nature | school,652.29,f,23,,campus,school,nature or school,nature,school,0,
iat,nature | school,818.2,f,24,,mountain,nature,nature or school,nature,school,1,
iat,serenity | anxiety,576.59,f,25,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,675.77,j,26,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,689.06,f,27,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,428.47,f,28,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,406.49,j,29,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,448.1,f,30,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,738.98,f,31,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,627.96,j,32,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,663.43,j,33,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,567.2,j,34,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,430.8,j,35,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,702.71,j,36,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,397.39,j,37,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,598.95,f,38,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,526.44,f,39,,panic,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,428.33,f,40,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,390.51,j,41,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,573.77,j,42,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,585.07,j,43,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,509.67,f,44,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,638.26,f,45,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,397.67,f,46,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,582.06,f,47,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,817.45,f,48,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature or anxiety | school or serenity,633.45,j,49,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,573.19,j,50,,teacher,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,474.55,f,51,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,742.18,j,52,,breathe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,610.94,f,53,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,466.18,j,54,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,628.51,j,55,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,774.27,j,56,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,885.21,j,57,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,696.63,f,58,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,662.64,j,59,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,682.21,j,60,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,637.14,f,61,,mountain,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,653.93,f,62,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,623.28,f,63,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,523.77,j,64,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,722.49,j,65,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
