trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,588.69,j,1,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,469.68,f,2,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,566.65,f,3,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,786.33,f,4,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,631.7,j,5,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,606.26,j,6,,quiet,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,585.29,j,7,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,524.93,j,8,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,661.35,j,9,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,624.65,j,10,,soothe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,646.65,j,11,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,658.77,f,12,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,525.86,j,13,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,664.53,f,14,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,547.96,f,15,,worry,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,509.1,j,16,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,564.72,f,17,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,512.32,f,18,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,375.77,j,19,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,667.89,j,20,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,649.86,j,21,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,588.9,j,22,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,713.13,j,23,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
