trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,755.24,j,1,,class,school,nature or school,nature,school,1,
iat,nature | school,538.94,j,2,,lecture,school,nature or school,nature,school,1,
iat,nature | school,525.01,f,3,,lake,nature,nature or school,nature,school,1,
iat,nature | school,725.07,j,4,,teacher,school,nature or school,nature,school,1,
iat,nature | school,582.46,j,5,,breeze,nature,nature or school,nature,school,0,
iat,nature | school,753.27,j,6,,homework,school,nature or school,nature,school,1,
iat,nature | school,322.42,f,7,,lake,nature,nature or school,nature,school,1,
iat,nature | school,477.16,j,8,,grade,school,nature or school,nature,school,1,
iat,nature | school,558.79,f,9,,tree,nature,nature or school,nature,school,1,
iat,nature | school,437.83,j,10,,teacher,school,nature or school,nature,school,1,
iat,nature | school,480.53,j,11,,essay,school,nature or school,nature,school,1,
iat,nature | school,374.76,j,12,,grade,school,nature or school,nature,school,1,
iat,nature | school,566.26,j,13,,grade,school,nature or school,nature,school,1,
iat,nature | school,440.82,f,14,,lake,nature,nature or school,nature,school,1,
iat,nature | school,488.89,j,15,,essay,school,nature or school,nature,school,1,
iat,nature | school,629.84,j,16,,essay,school,nature or school,nature,school,1,
iat,nature | school,482.95,f,17,,lake,nature,nature or school,nature,school,1,
iat,nature | school,814.75,f,18,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,674.2,j,19,,essay,school,nature or school,nature,school,1,
iat,nature | school,593.3,j,20,,campus,school,nature or school,nature,school,1,
iat,nature | school,945.66,j,21,,grade,school,nature or school,nature,school,1,
iat,nature | school,838.25,j,22,,essay,school,nature or school,nature,school,1,
iat,nature | school,544.95,f,23,,river,nature,nature or school,nature,school,1,
iat,nature | school,540.53,j,24,,essay,school,nature or school,nature,school,1,
iat,serenity | anxiety,547.95,j,25,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,531.64,j,26,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,508.08,f,27,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,441.52,j,28,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,440.38,f,29,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,592.36,j,30,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,538.15,j,31,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,425.27,j,32,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,522.36,f,33,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,344.58,j,34,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,669.37,f,35,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,812.99,f,36,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,777.87,j,37,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,484.45,f,38,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,431.42,j,39,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,672.99,f,40,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,604.96,f,41,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,592.76,f,42,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,604.94,j,43,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,452.32,j,44,,calm,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,653.3,j,45,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,784.84,f,46,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,472.97,f,47,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,516.34,j,48,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature or anxiety | school or serenity,641.69,j,49,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,685.94,j,50,,stress,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,874.35,f,51,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,799.99,f,52,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,551.09,j,53,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,647.28,j,54,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,527.47,j,55,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
