trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,634.95,j,1,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,663.9,f,2,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,442.51,f,3,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,725.74,j,4,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,595.9,f,5,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,672.37,f,6,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,799.69,f,7,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,519.19,f,8,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,471.32,j,9,,peace,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,638.29,f,10,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,688.32,j,11,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,578.84,f,12,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,710.39,j,13,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,592.31,j,14,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,607.98,j,15,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,649.48,j,16,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,516.27,f,17,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,549.01,j,18,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,751.25,j,19,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,583.92,j,20,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,727.82,j,21,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,634.92,f,22,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,619.8,j,23,,soothe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,338.6,j,24,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,649.19,f,25,,tree,nature,nature or school,nature,school,1,
iat,nature | school,569.66,j,26,,teacher,school,nature or school,nature,school,1,
iat,nature | school,538.27,j,27,,class,school,nature or school,nature,school,1,
iat,nature | school,482.33,j,28,,essay,school,nature or school,nature,school,1,
iat,nature | school,444.84,f,29,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,724.18,j,30,,essay,school,nature or school,nature,school,1,
iat,nature | school,807.98,j,31,,class,school,nature or school,nature,school,1,
iat,nature | school,486.32,j,32,,class,school,nature or school,nature,school,1,
iat,nature | school,644.76,j,33,,lecture,school,nature or school,nature,school,1,
iat,nature | school,702.24,f,34,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,434.48,f,35,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,393.95,j,36,,ocean,nature,nature or school,nature,school,0,
iat,nature | school,588.21,f,37,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,498.4,j,38,,essay,school,nature or school,nature,school,1,
iat,nature | school,599.85,j,39,,lecture,school,nature or school,nature,school,1,
iat,nature | school,573.52,j,40,,teacher,school,nature or school,nature,school,1,
iat,nature | school,691.7,f,41,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,552.76,f,42,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,644.95,j,43,,teacher,school,nature or school,nature,school,1,
iat,nature | school,715.46,f,44,,forest,nature,nature or school,nature,school,1,
iat,nature | school,486.74,j,45,,river,nature,nature or school,nature,school,0,
iat,nature | school,729.54,f,46,,river,nature,nature or school,nature,school,1,
iat,nature | school,575.31,j,47,,essay,school,nature or school,nature,school,1,
iat,nature | school,884.26,f,48,,lake,nature,nature or school,nature,school,1,
