trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,599.02,f,1,,tree,nature,nature or school,nature,school,1,
iat,nature | school,707.57,j,2,,homework,school,nature or school,nature,school,1,
iat,nature | school,495.63,j,3,,exam,school,nature or school,nature,school,1,
iat,nature | school,685.19,j,4,,exam,school,nature or school,nature,school,1,
iat,nature | school,613.97,j,5,,grade,school,nature or school,nature,school,1,
iat,nature | school,521.99,f,6,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,875.61,j,7,,lecture,school,nature or school,nature,school,1,
iat,nature | school,454.19,j,8,,exam,school,nature or school,nature,school,1,
iat,nature | school,723.7,f,9,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,751.17,f,10,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,576.77,f,11,,lake,nature,nature or school,nature,school,1,
iat,nature | school,568.54,j,12,,essay,school,nature or school,nature,school,1,
iat,nature | school,543.9,f,13,,river,nature,nature or school,nature,school,1,
iat,nature | school,507.91,j,14,,exam,school,nature or school,nature,school,1,
iat,nature | school,774.26,j,15,,campus,school,nature or school,nature,school,1,
iat,nature | school,598.07,j,16,,grade,school,nature or school,nature,school,1,
iat,nature | school,570.27,f,17,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,865.8,j,18,,exam,school,nature or school,nature,school,1,
iat,nature | school,621.68,j,19,,essay,school,nature or school,nature,school,1,
iat,nature | school,437.67,j,20,,campus,school,nature or school,nature,school,1,
iat,nature | school,805.05,f,21,,lecture,school,nature or school,nature,school,0,
iat,nature | school,734.31,j,22,,essay,school,nature or school,nature,school,1,
iat,nature | school,598.62,j,23,,exam,school,nature or school,nature,school,1,
iat,nature | school,911.34,j,24,,teacher,school,nature or school,nature,school,1,
iat,serenity | anxiety,434.23,f,25,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,491.16,j,26,,rest,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,344.18,f,27,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
