trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,831.88,j,1,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,547.04,f,2,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,693.5,j,3,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,612.26,j,4,,calm,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,642.78,f,5,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,599.5,j,6,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,517.49,j,7,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,743.25,j,8,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,461.92,f,9,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,587.55,j,10,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,802.87,j,11,,rest,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,562.82,f,12,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,352.08,f,13,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,653.21,j,14,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,668.74,j,15,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,506.07,j,16,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,521.15,j,17,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,470.76,f,18,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,890.18,f,19,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,648.0,j,20,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,688.94,j,21,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
