trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,531.33,f,1,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,718.79,j,2,,essay,school,nature or school,nature,school,1,
iat,nature | school,627.73,f,3,,lake,nature,nature or school,nature,school,1,
iat,nature | school,497.61,f,4,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,576.8,f,5,,lake,nature,nature or school,nature,school,1,
iat,nature | school,668.87,f,6,,lake,nature,nature or school,nature,school,1,
iat,nature | school,508.08,f,7,,tree,nature,nature or school,nature,school,1,
iat,nature | school,730.44,f,8,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,553.09,f,9,,tree,nature,nature or school,nature,school,1,
iat,nature | school,650.18,j,10,,campus,school,nature or school,nature,school,1,
iat,nature | school,647.66,j,11,,grade,school,nature or school,nature,school,1,
iat,nature | school,504.29,f,12,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,674.09,j,13,,essay,school,nature or school,nature,school,1,
iat,nature | school,466.64,f,14,,river,nature,nature or school,nature,school,1,
iat,nature | school,563.48,j,15,,campus,school,nature or school,nature,school,1,
iat,nature | school,783.65,f,16,,forest,nature,nature or school,nature,school,1,
iat,nature | school,702.88,j,17,,class,school,nature or school,nature,school,1,
iat,nature | school,635.66,f,18,,river,nature,nature or school,nature,school,1,
iat,nature | school,438.77,j,19,,campus,school,nature or school,nature,school,1,
iat,nature | school,536.48,j,20,,lecture,school,nature or school,nature,school,1,
iat,nature | school,739.05,j,21,,lecture,school,nature or school,nature,school,1,
iat,nature | school,784.29,f,22,,forest,nature,nature or school,nature,school,1,
iat,nature | school,625.71,f,23,,river,nature,nature or school,nature,school,1,
iat,nature | school,686.75,j,24,,lecture,school,nature or school,nature,school,1,
iat,serenity | anxiety,709.76,j,25,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,847.91,f,26,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,493.63,j,27,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,706.26,j,28,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,727.13,f,29,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,527.74,f,30,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,566.0,f,31,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,450.87,j,32,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,605.04,f,33,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,635.36,j,34,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,650.81,f,35,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,597.99,f,36,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,560.24,f,37,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,399.95,j,38,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,566.67,j,39,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,713.38,f,40,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,587.06,j,41,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,539.9,j,42,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,705.89,f,43,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,654.8,j,44,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,527.18,f,45,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,365.54,f,46,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
