trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,679.92,f,1,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,571.19,f,2,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,742.47,j,3,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,616.77,j,4,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,490.92,f,5,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,536.97,j,6,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,778.47,j,7,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,674.22,j,8,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,734.41,f,9,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,606.46,f,10,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,648.79,j,11,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,812.07,f,12,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,785.26,j,13,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,578.29,j,14,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,517.03,j,15,,peace,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,361.29,j,16,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,638.87,j,17,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,524.37,j,18,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,430.22,f,19,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,767.51,j,20,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,625.03,j,21,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,693.15,f,22,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,635.65,f,23,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,688.79,j,24,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,532.38,j,25,,class,school,nature or school,nature,school,1,
iat,nature | school,696.0,j,26,,lecture,school,nature or school,nature,school,1,
iat,nature | school,622.35,j,27,,exam,school,nature or school,nature,school,1,
iat,nature | school,699.38,f,28,,lake,nature,nature or school,nature,school,1,
iat,nature | school,643.4,j,29,,campus,school,nature or school,nature,school,1,
iat,nature | school,575.68,j,30,,campus,school,nature or school,nature,school,1,
iat,nature | school,833.53,j,31,,homework,school,nature or school,nature,school,1,
iat,nature | school,481.03,j,32,,mountain,nature,nature or school,nature,school,0,
iat,nature | school,536.59,j,33,,homework,school,nature or school,nature,school,1,
iat,nature | school,643.93,f,34,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,575.08,f,35,,river,nature,nature or school,nature,school,1,
iat,nature | school,433.86,f,36,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,773.3,f,37,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,593.58,j,38,,lecture,school,nature or school,nature,school,1,
iat,nature | school,589.92,j,39,,lecture,school,nature or school,nature,school,1,
iat,nature | school,605.48,j,40,,exam,school,nature or school,nature,school,1,
iat,nature | school,420.9,j,41,,homework,school,nature or school,nature,school,1,
iat,nature | school,695.85,j,42,,homework,school,nature or school,nature,school,1,
iat,nature | school,418.88,f,43,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,740.69,j,44,,class,school,nature or school,nature,school,1,
iat,nature | school,720.77,f,45,,lecture,school,nature or school,nature,school,0,
iat,nature | school,735.13,j,46,,essay,school,nature or school,nature,school,1,
iat,nature | school,627.86,f,47,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,503.03,f,48,,lake,nature,nature or school,nature,school,1,
iat,nature or anxiety | school or serenity,611.95,f,49,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,947.6,f,50,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,593.31,f,51,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,469.57,j,52,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,711.23,j,53,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,644.78,f,54,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,838.55,f,55,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
