trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,708.64,f,1,,river,nature,nature or school,nature,school,1,
iat,nature | school,710.05,f,2,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,622.84,f,3,,teacher,school,nature or school,nature,school,0,
iat,nature | school,741.02,f,4,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,618.65,f,5,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,705.86,f,6,,river,nature,nature or school,nature,school,1,
iat,nature | school,777.39,f,7,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,846.44,j,8,,grade,school,nature or school,nature,school,1,
iat,nature | school,693.71,j,9,,exam,school,nature or school,nature,school,1,
iat,nature | school,498.62,f,10,,tree,nature,nature or school,nature,school,1,
iat,nature | school,578.44,f,11,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,589.74,j,12,,campus,school,nature or school,nature,school,1,
iat,nature | school,756.44,j,13,,exam,school,nature or school,nature,school,1,
iat,nature | school,634.83,f,14,,lake,nature,nature or school,nature,school,1,
iat,nature | school,403.94,f,15,,forest,nature,nature or school,nature,school,1,
iat,nature | school,706.11,j,16,,grade,school,nature or school,nature,school,1,
iat,nature | school,652.8,j,17,,exam,school,nature or school,nature,school,1,
iat,nature | school,623.11,f,18,,river,nature,nature or school,nature,school,1,
iat,nature | school,506.52,f,19,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,609.62,f,20,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,724.68,j,21,,mountain,nature,nature or school,nature,school,0,
iat,nature | school,468.02,j,22,,essay,school,nature or school,nature,school,1,
iat,nature | school,709.68,j,23,,river,nature,nature or school,nature,school,0,
iat,nature | school,417.56,j,24,,meadow,nature,nature or school,nature,school,0,
iat,serenity | anxiety,598.78,j,25,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,609.18,f,26,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,584.45,f,27,,unease,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,378.29,j,28,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,716.46,j,29,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,599.12,f,30,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,631.52,f,31,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,692.55,f,32,,stress,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,744.54,f,33,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,727.28,j,34,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,519.85,j,35,,calm,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,768.88,j,36,,quiet,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,676.3,f,37,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,657.54,j,38,,breathe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,637.12,f,39,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,695.26,j,40,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,751.31,j,41,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,417.01,f,42,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,610.75,j,43,,relax,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,588.17,f,44,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,733.13,j,45,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,752.36,j,46,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,697.13,j,47,,breathe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,736.08,j,48,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature or serenity | school or anxiety,428.91,j,49,,class,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,742.32,j,50,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,434.28,f,51,,stress,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,667.24,j,52,,worry,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,677.05,j,53,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,339.61,j,54,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,535.81,j,55,,panic,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,650.36,j,56,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,613.9,j,57,,exam,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,659.62,f,58,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,665.16,f,59,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,479.43,f,60,,breeze,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,591.99,f,61,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,661.31,f,62,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,486.31,f,63,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,498.97,j,64,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,463.85,f,65,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,620.75,j,66,,stress,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,540.78,j,67,,panic,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,686.41,f,68,,breeze,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,737.67,j,69,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,517.1,f,70,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,547.64,f,71,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,462.65,j,72,,panic,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,563.8,j,73,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,338.75,j,74,,class,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,448.09,f,75,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,575.0,j,76,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,435.65,f,77,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
