trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,545.98,f,1,,lecture,school,nature or school,nature,school,0,
iat,nature | school,679.53,j,2,,lecture,school,nature or school,nature,school,1,
iat,nature | school,583.21,j,3,,teacher,school,nature or school,nature,school,1,
iat,nature | school,688.04,j,4,,lecture,school,nature or school,nature,school,1,
iat,nature | school,720.32,j,5,,homework,school,nature or school,nature,school,1,
iat,nature | school,481.34,j,6,,exam,school,nature or school,nature,school,1,
iat,nature | school,590.74,j,7,,essay,school,nature or school,nature,school,1,
iat,nature | school,483.79,f,8,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,606.89,f,9,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,607.55,j,10,,essay,school,nature or school,nature,school,1,
iat,nature | school,561.59,j,11,,lecture,school,nature or school,nature,school,1,
iat,nature | school,849.58,j,12,,teacher,school,nature or school,nature,school,1,
iat,nature | school,521.63,f,13,,essay,school,nature or school,nature,school,0,
iat,nature | school,693.81,j,14,,homework,school,nature or school,nature,school,1,
iat,nature | school,704.01,f,15,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,529.68,f,16,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,647.94,f,17,,tree,nature,nature or school,nature,school,1,
iat,nature | school,506.43,f,18,,river,nature,nature or school,nature,school,1,
iat,nature | school,678.22,j,19,,class,school,nature or school,nature,school,1,
iat,nature | school,698.11,j,20,,grade,school,nature or school,nature,school,1,
iat,nature | school,650.1,f,21,,lake,nature,nature or school,nature,school,1,
iat,nature | school,716.67,j,22,,exam,school,nature or school,nature,school,1,
iat,nature | school,374.82,j,23,,homework,school,nature or school,nature,school,1,
iat,nature | school,453.44,f,24,,mountain,nature,nature or school,nature,school,1,
iat,serenity | anxiety,930.29,j,25,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,525.0,f,26,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,588.84,j,27,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,456.27,f,28,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,477.25,f,29,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,649.15,j,30,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,1032.37,f,31,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,552.82,j,32,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,406.11,j,33,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,773.99,j,34,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,759.78,j,35,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,656.52,j,36,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,601.92,f,37,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,709.02,f,38,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,618.97,f,39,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,419.23,j,40,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,669.17,j,41,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,476.36,f,42,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,533.58,j,43,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,542.62,j,44,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,565.67,f,45,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,648.31,f,46,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,700.26,f,47,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,535.02,f,48,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature or anxiety | school or serenity,589.1,j,49,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,723.79,j,50,,mountain,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,719.64,f,51,,nervous,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,667.89,f,52,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,729.66,f,53,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,588.22,f,54,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,684.39,j,55,,teacher,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,577.09,j,56,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,491.59,f,57,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,637.59,j,58,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,637.45,f,59,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,703.55,f,60,,unease,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,833.56,j,61,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,645.48,f,62,,unease,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,745.03,j,63,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,676.1,j,64,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,429.17,j,65,,breathe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,583.21,f,66,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,817.94,j,67,,unease,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,681.52,j,68,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,464.39,f,69,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,654.08,f,70,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,542.28,f,71,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,592.84,f,72,,stress,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,996.35,f,73,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,669.6,j,74,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,599.48,f,75,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,671.73,f,76,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,868.78,j,77,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,750.89,j,78,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,618.35,j,79,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,618.6,j,80,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,847.72,j,81,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,717.66,f,82,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,608.52,f,83,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,509.67,j,84,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,703.25,f,85,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,709.21,j,86,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,1004.65,j,87,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,738.25,f,88,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,600.3,j,89,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,503.1,f,90,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,610.22,j,91,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,596.62,f,92,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,611.62,j,93,,stress,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,783.7,j,94,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,673.51,f,95,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,629.6,f,96,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,774.15,f,97,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,946.39,f,98,,mountain,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,781.71,f,99,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,640.62,j,100,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,740.21,j,101,,nervous,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,522.81,j,102,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,815.84,j,103,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,592.07,j,104,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,575.4,j,105,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,561.47,j,106,,exam,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,945.08,f,107,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,820.72,f,108,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,924.17,j,109,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,604.18,j,110,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,535.85,j,111,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,679.93,j,112,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or serenity | school or anxiety,550.66,f,113,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,302.85,f,114,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,553.03,j,115,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
