trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,300.97,j,1,,lecture,school,nature or school,nature,school,1,
iat,nature | school,570.17,f,2,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,572.01,f,3,,forest,nature,nature or school,nature,school,1,
iat,nature | school,567.14,j,4,,class,school,nature or school,nature,school,1,
iat,nature | school,777.02,j,5,,class,school,nature or school,nature,school,1,
iat,nature | school,603.72,f,6,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,547.35,f,7,,lake,nature,nature or school,nature,school,1,
iat,nature | school,583.65,f,8,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,599.15,f,9,,lake,nature,nature or school,nature,school,1,
iat,nature | school,516.95,j,10,,class,school,nature or school,nature,school,1,
iat,nature | school,765.23,f,11,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,610.39,j,12,,campus,school,nature or school,nature,school,1,
iat,nature | school,526.82,j,13,,essay,school,nature or school,nature,school,1,
iat,nature | school,654.08,f,14,,river,nature,nature or school,nature,school,1,
iat,nature | school,650.23,f,15,,tree,nature,nature or school,nature,school,1,
iat,nature | school,529.08,j,16,,meadow,nature,nature or school,nature,school,0,
iat,nature | school,654.41,j,17,,teacher,school,nature or school,nature,school,1,
iat,nature | school,739.01,j,18,,class,school,nature or school,nature,school,1,
iat,nature | school,696.47,f,19,,lake,nature,nature or school,nature,school,1,
iat,nature | school,663.46,j,20,,teacher,school,nature or school,nature,school,1,
iat,nature | school,684.71,f,21,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,605.92,j,22,,homework,school,nature or school,nature,school,1,
iat,nature | school,669.59,j,23,,homework,school,nature or school,nature,school,1,
iat,nature | school,786.08,j,24,,class,school,nature or school,nature,school,1,
iat,serenity | anxiety,883.67,f,25,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,631.44,f,26,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,646.33,f,27,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,473.98,f,28,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,427.24,j,29,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,711.56,f,30,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,825.04,f,31,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,538.57,j,32,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,519.62,f,33,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,540.16,f,34,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,645.9,f,35,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,659.82,j,36,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,817.72,j,37,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,242.39,j,38,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
