trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,654.16,f,1,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,704.97,f,2,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,614.91,j,3,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,489.55,f,4,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,802.54,j,5,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,623.24,j,6,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,668.06,j,7,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,655.14,j,8,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,718.36,j,9,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,651.54,j,10,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,323.65,f,11,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,678.51,f,12,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,716.84,f,13,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,695.68,f,14,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,553.04,f,15,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,846.76,f,16,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,459.13,j,17,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,674.36,j,18,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,619.5,f,19,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,494.67,j,20,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,733.34,j,21,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,795.72,j,22,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,353.03,f,23,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,661.85,j,24,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,619.26,j,25,,exam,school,nature or school,nature,school,1,
iat,nature | school,648.36,f,26,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,562.9,j,27,,campus,school,nature or school,nature,school,1,
iat,nature | school,700.7,j,28,,lecture,school,nature or school,nature,school,1,
iat,nature | school,662.96,f,29,,river,nature,nature or school,nature,school,1,
iat,nature | school,806.79,f,30,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,626.93,f,31,,tree,nature,nature or school,nature,school,1,
iat,nature | school,670.66,f,32,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,758.43,j,33,,exam,school,nature or school,nature,school,1,
iat,nature | school,608.86,j,34,,teacher,school,nature or school,nature,school,1,
iat,nature | school,488.15,j,35,,lecture,school,nature or school,nature,school,1,
iat,nature | school,676.37,j,36,,essay,school,nature or school,nature,school,1,
iat,nature | school,302.04,j,37,,teacher,school,nature or school,nature,school,1,
