trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,585.32,j,1,,grade,school,nature or school,nature,school,1,
iat,nature | school,511.5,f,2,,forest,nature,nature or school,nature,school,1,
iat,nature | school,533.85,j,3,,campus,school,nature or school,nature,school,1,
iat,nature | school,568.37,j,4,,homework,school,nature or school,nature,school,1,
iat,nature | school,541.12,j,5,,class,school,nature or school,nature,school,1,
iat,nature | school,570.6,j,6,,grade,school,nature or school,nature,school,1,
iat,nature | school,456.38,f,7,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,551.08,f,8,,forest,nature,nature or school,nature,school,1,
iat,nature | school,527.45,f,9,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,601.16,f,10,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,751.75,j,11,,meadow,nature,nature or school,nature,school,0,
iat,nature | school,522.83,j,12,,essay,school,nature or school,nature,school,1,
iat,nature | school,552.36,j,13,,homework,school,nature or school,nature,school,1,
iat,nature | school,500.51,j,14,,lake,nature,nature or school,nature,school,0,
iat,nature | school,515.77,f,15,,lake,nature,nature or school,nature,school,1,
iat,nature | school,600.76,f,16,,tree,nature,nature or school,nature,school,1,
iat,nature | school,687.85,j,17,,mountain,nature,nature or school,nature,school,0,
iat,nature | school,544.14,j,18,,class,school,nature or school,nature,school,1,
iat,nature | school,639.9,j,19,,class,school,nature or school,nature,school,1,
iat,nature | school,284.7,j,20,,lecture,school,nature or school,nature,school,1,
iat,nature | school,566.81,j,21,,lecture,school,nature or school,nature,school,1,
iat,nature | school,853.08,f,22,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,651.97,j,23,,class,school,nature or school,nature,school,1,
iat,nature | school,633.13,f,24,,tree,nature,nature or school,nature,school,1,
iat,serenity | anxiety,633.52,j,25,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,543.26,j,26,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,618.13,j,27,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,440.35,j,28,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,707.16,f,29,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,649.9,j,30,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,666.09,f,31,,tension,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,662.79,f,32,,nervous,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,753.93,j,33,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,665.27,j,34,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,529.01,j,35,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,583.28,f,36,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,453.04,j,37,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,476.63,f,38,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,558.08,f,39,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,577.19,f,40,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,434.27,j,41,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,654.99,f,42,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,360.46,f,43,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,720.77,f,44,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,601.61,j,45,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,676.42,j,46,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,454.43,j,47,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,627.66,j,48,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature or serenity | school or anxiety,668.65,j,49,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,681.1,f,50,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,528.76,f,51,,river,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,565.32,j,52,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,573.38,j,53,,exam,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,779.99,f,54,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,517.04,f,55,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,515.05,f,56,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,474.78,j,57,,worry,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,809.18,j,58,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,555.97,j,59,,panic,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,454.06,f,60,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,695.89,j,61,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,473.14,f,62,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,515.45,j,63,,stress,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,504.12,f,64,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,554.08,f,65,,breeze,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,741.48,f,66,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,629.27,j,67,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,596.45,j,68,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,587.97,j,69,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,715.97,j,70,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,701.91,f,71,,gentle,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,402.04,j,72,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,377.51,j,73,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,610.7,j,74,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,455.13,f,75,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,565.97,f,76,,peace,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,625.14,f,77,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,499.76,f,78,,river,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,611.41,f,79,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,498.97,j,80,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,760.44,j,81,,stress,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,622.28,j,82,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,472.55,f,83,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,498.28,f,84,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,394.37,f,85,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,477.94,j,86,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,366.88,j,87,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,612.74,j,88,,exam,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,408.98,j,89,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,683.96,f,90,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,579.41,j,91,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,442.95,j,92,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,794.01,j,93,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,536.87,j,94,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,753.22,f,95,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,695.39,j,96,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,490.91,f,97,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,686.36,j,98,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,534.91,f,99,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,411.96,f,100,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,534.86,f,101,,rest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,590.36,j,102,,worry,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,619.46,j,103,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,514.75,j,104,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,622.16,f,105,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,472.97,j,106,,class,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,772.24,j,107,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,655.74,f,108,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,688.69,j,109,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,480.79,j,110,,stress,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,813.28,f,111,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,694.01,j,112,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or anxiety | school or serenity,557.61,f,113,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,451.46,j,114,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,433.91,j,115,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,655.0,f,116,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,651.54,f,117,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,504.7,j,118,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,544.88,f,119,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,798.23,f,120,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,563.45,j,121,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,533.28,f,122,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,590.14,j,123,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,750.74,f,124,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,606.54,j,125,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,530.94,f,126,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,705.83,j,127,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,799.29,f,128,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,838.1,j,129,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,649.73,f,130,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,395.81,f,131,,mountain,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,807.48,f,132,,exam,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,611.3,j,133,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,618.03,f,134,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,934.37,f,135,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,563.1,f,136,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,592.07,j,137,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,600.52,j,138,,breathe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,626.36,j,139,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
