trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,375.33,j,1,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,895.08,f,2,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,671.2,j,3,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,628.6,j,4,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,474.99,f,5,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,623.34,j,6,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,720.57,j,7,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,412.27,j,8,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,687.53,j,9,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,694.88,f,10,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,663.54,j,11,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,540.01,j,12,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,599.96,f,13,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,574.05,j,14,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,722.78,j,15,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,345.14,f,16,,tension,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,615.17,f,17,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,636.32,f,18,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,598.56,f,19,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,652.26,f,20,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,594.16,j,21,,breathe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,608.5,f,22,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,667.21,f,23,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,730.45,f,24,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,563.64,f,25,,tree,nature,nature or school,nature,school,1,
iat,nature | school,663.36,f,26,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,541.8,f,27,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,713.87,f,28,,river,nature,nature or school,nature,school,1,
iat,nature | school,635.22,f,29,,essay,school,nature or school,nature,school,0,
iat,nature | school,448.77,f,30,,lake,nature,nature or school,nature,school,1,
iat,nature | school,638.72,f,31,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,311.71,f,32,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,383.46,f,33,,forest,nature,nature or school,nature,school,1,
iat,nature | school,432.24,j,34,,lecture,school,nature or school,nature,school,1,
iat,nature | school,806.04,f,35,,forest,nature,nature or school,nature,school,1,
iat,nature | school,531.94,j,36,,homework,school,nature or school,nature,school,1,
iat,nature | school,693.49,j,37,,campus,school,nature or school,nature,school,1,
iat,nature | school,486.86,j,38,,essay,school,nature or school,nature,school,1,
iat,nature | school,526.03,f,39,,lake,nature,nature or school,nature,school,1,
iat,nature | school,490.05,j,40,,teacher,school,nature or school,nature,school,1,
iat,nature | school,601.79,j,41,,lecture,school,nature or school,nature,school,1,
iat,nature | school,594.07,f,42,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,522.42,f,43,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,675.09,f,44,,river,nature,nature or school,nature,school,1,
iat,nature | school,744.18,j,45,,teacher,school,nature or school,nature,school,1,
iat,nature | school,479.86,j,46,,homework,school,nature or school,nature,school,1,
iat,nature | school,543.54,f,47,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,374.39,f,48,,tree,nature,nature or school,nature,school,1,
iat,nature or serenity | school or anxiety,562.91,f,49,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,642.66,j,50,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,637.87,j,51,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,425.4,j,52,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,410.8,f,53,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,457.88,f,54,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,685.89,f,55,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,624.08,j,56,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,547.91,f,57,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,382.9,f,58,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
