trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,466.76,j,1,,lecture,school,nature or school,nature,school,1,
iat,nature | school,625.94,j,2,,campus,school,nature or school,nature,school,1,
iat,nature | school,649.25,f,3,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,721.27,j,4,,class,school,nature or school,nature,school,1,
iat,nature | school,647.8,j,5,,homework,school,nature or school,nature,school,1,
iat,nature | school,479.9,f,6,,class,school,nature or school,nature,school,0,
iat,nature | school,523.5,j,7,,campus,school,nature or school,nature,school,1,
iat,nature | school,875.41,j,8,,class,school,nature or school,nature,school,1,
iat,nature | school,769.61,f,9,,tree,nature,nature or school,nature,school,1,
iat,nature | school,493.28,j,10,,essay,school,nature or school,nature,school,1,
iat,nature | school,850.11,f,11,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,750.84,j,12,,river,nature,nature or school,nature,school,0,
iat,nature | school,545.47,j,13,,essay,school,nature or school,nature,school,1,
iat,nature | school,788.46,f,14,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,490.84,f,15,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,340.92,f,16,,lecture,school,nature or school,nature,school,0,
iat,nature | school,748.48,f,17,,river,nature,nature or school,nature,school,1,
iat,nature | school,521.82,f,18,,river,nature,nature or school,nature,school,1,
iat,nature | school,818.05,f,19,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,633.76,j,20,,homework,school,nature or school,nature,school,1,
iat,nature | school,702.43,j,21,,exam,school,nature or school,nature,school,1,
iat,nature | school,553.88,j,22,,class,school,nature or school,nature,school,1,
iat,nature | school,514.84,j,23,,exam,school,nature or school,nature,school,1,
iat,nature | school,680.72,f,24,,ocean,nature,nature or school,nature,school,1,
iat,serenity | anxiety,354.99,j,25,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,538.0,j,26,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,720.8,j,27,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,511.52,j,28,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,792.15,j,29,,calm,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,555.65,j,30,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,678.18,j,31,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,622.87,f,32,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,750.31,f,33,,unease,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,273.36,j,34,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,547.28,j,35,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,521.45,j,36,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,631.84,j,37,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,658.3,f,38,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,664.81,f,39,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,508.31,j,40,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,439.25,j,41,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,721.36,j,42,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,536.82,f,43,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,571.94,j,44,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,737.09,j,45,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,534.62,j,46,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,697.85,j,47,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,534.38,j,48,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature or anxiety | school or serenity,756.49,j,49,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,656.16,f,50,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,626.9,j,51,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,668.04,f,52,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,626.76,j,53,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,806.19,f,54,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,677.77,j,55,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,528.62,j,56,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,687.09,f,57,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,701.03,f,58,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,767.12,j,59,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,561.91,j,60,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,458.19,j,61,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,641.32,j,62,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,924.98,j,63,,breathe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,611.97,j,64,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,409.0,j,65,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,671.04,j,66,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,718.88,f,67,,stress,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,501.34,j,68,,breathe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,684.81,j,69,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,754.98,j,70,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,802.59,f,71,,mountain,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,687.31,j,72,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,681.39,f,73,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,890.21,f,74,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,664.31,f,75,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,766.28,f,76,,unease,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,893.41,j,77,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,486.77,j,78,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,871.63,f,79,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,692.09,f,80,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,599.23,j,81,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,495.71,j,82,,breathe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,859.85,j,83,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,681.79,f,84,,river,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,613.45,j,85,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,652.87,j,86,,teacher,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,549.95,j,87,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,484.15,f,88,,tree,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,715.53,f,89,,nervous,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,731.84,f,90,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,578.93,j,91,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,802.11,f,92,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,601.93,j,93,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
