trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,620.6,f,1,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,568.03,f,2,,tree,nature,nature or school,nature,school,1,
iat,nature | school,516.67,f,3,,forest,nature,nature or school,nature,school,1,
iat,nature | school,725.57,j,4,,campus,school,nature or school,nature,school,1,
iat,nature | school,615.67,f,5,,lake,nature,nature or school,nature,school,1,
iat,nature | school,600.29,f,6,,lake,nature,nature or school,nature,school,1,
iat,nature | school,493.59,f,7,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,557.73,j,8,,exam,school,nature or school,nature,school,1,
iat,nature | school,639.62,j,9,,exam,school,nature or school,nature,school,1,
iat,nature | school,597.16,j,10,,teacher,school,nature or school,nature,school,1,
iat,nature | school,444.13,f,11,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,368.58,j,12,,exam,school,nature or school,nature,school,1,
iat,nature | school,648.27,j,13,,essay,school,nature or school,nature,school,1,
iat,nature | school,703.11,j,14,,class,school,nature or school,nature,school,1,
iat,nature | school,589.21,j,15,,lecture,school,nature or school,nature,school,1,
iat,nature | school,515.97,f,16,,forest,nature,nature or school,nature,school,1,
iat,nature | school,735.19,f,17,,tree,nature,nature or school,nature,school,1,
iat,nature | school,757.68,f,18,,tree,nature,nature or school,nature,school,1,
iat,nature | school,547.62,j,19,,meadow,nature,nature or school,nature,school,0,
iat,nature | school,532.63,f,20,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,732.75,f,21,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,682.08,j,22,,essay,school,nature or school,nature,school,1,
iat,nature | school,765.22,j,23,,forest,nature,nature or school,nature,school,0,
iat,nature | school,744.65,j,24,,essay,school,nature or school,nature,school,1,
iat,serenity | anxiety,479.77,j,25,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,632.16,f,26,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,558.11,f,27,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,592.38,j,28,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,560.67,j,29,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,823.08,j,30,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,512.54,j,31,,gentle,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,536.99,f,32,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,811.65,f,33,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,682.02,j,34,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,564.52,j,35,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,853.44,f,36,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,743.54,j,37,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,649.65,j,38,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,656.54,f,39,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,818.91,j,40,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,497.85,f,41,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,513.06,j,42,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,377.89,j,43,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,679.45,f,44,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,639.17,j,45,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,473.41,j,46,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,675.92,f,47,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,775.12,f,48,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature or serenity | school or anxiety,415.55,j,49,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,496.31,f,50,,forest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,684.93,f,51,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,544.02,j,52,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
