trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,525.32,j,1,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,691.89,f,2,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,450.97,j,3,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,509.36,j,4,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,462.23,f,5,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,704.69,j,6,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,492.8,f,7,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,630.11,f,8,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,703.5,f,9,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,471.09,j,10,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,560.34,f,11,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,839.38,j,12,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,598.2,j,13,,relax,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,431.18,f,14,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,830.14,j,15,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,559.32,j,16,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,384.77,f,17,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,771.66,j,18,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,824.73,f,19,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,601.42,j,20,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,735.05,f,21,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,789.11,j,22,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,437.74,f,23,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,298.26,j,24,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,731.16,f,25,,forest,nature,nature or school,nature,school,1,
iat,nature | school,596.7,j,26,,teacher,school,nature or school,nature,school,1,
iat,nature | school,454.01,j,27,,river,nature,nature or school,nature,school,0,
iat,nature | school,482.19,j,28,,homework,school,nature or school,nature,school,1,
iat,nature | school,461.24,j,29,,campus,school,nature or school,nature,school,1,
iat,nature | school,509.7,j,30,,breeze,nature,nature or school,nature,school,0,
iat,nature | school,707.14,f,31,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,423.8,f,32,,tree,nature,nature or school,nature,school,1,
iat,nature | school,574.94,f,33,,campus,school,nature or school,nature,school,0,
iat,nature | school,601.91,f,34,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,455.42,f,35,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,671.03,j,36,,essay,school,nature or school,nature,school,1,
iat,nature | school,307.1,j,37,,exam,school,nature or school,nature,school,1,
iat,nature | school,613.43,j,38,,exam,school,nature or school,nature,school,1,
iat,nature | school,612.02,j,39,,campus,school,nature or school,nature,school,1,
iat,nature | school,518.18,j,40,,teacher,school,nature or school,nature,school,1,
iat,nature | school,698.44,j,41,,essay,school,nature or school,nature,school,1,
iat,nature | school,502.79,j,42,,exam,school,nature or school,nature,school,1,
iat,nature | school,640.15,f,43,,lake,nature,nature or school,nature,school,1,
iat,nature | school,681.47,f,44,,tree,nature,nature or school,nature,school,1,
iat,nature | school,678.9,f,45,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,552.4,f,46,,forest,nature,nature or school,nature,school,1,
iat,nature | school,483.04,j,47,,exam,school,nature or school,nature,school,1,
iat,nature | school,517.91,f,48,,ocean,nature,nature or school,nature,school,1,
iat,nature or serenity | school or anxiety,891.96,f,49,,gentle,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,737.16,j,50,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
