trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,770.46,j,1,,essay,school,nature or school,nature,school,1,
iat,nature | school,525.22,f,2,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,679.27,j,3,,homework,school,nature or school,nature,school,1,
iat,nature | school,663.9,f,4,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,618.99,j,5,,lecture,school,nature or school,nature,school,1,
iat,nature | school,757.9,f,6,,tree,nature,nature or school,nature,school,1,
iat,nature | school,557.51,j,7,,campus,school,nature or school,nature,school,1,
iat,nature | school,479.97,f,8,,forest,nature,nature or school,nature,school,1,
iat,nature | school,533.7,j,9,,grade,school,nature or school,nature,school,1,
iat,nature | school,562.32,f,10,,forest,nature,nature or school,nature,school,1,
iat,nature | school,448.76,j,11,,class,school,nature or school,nature,school,1,
iat,nature | school,556.99,j,12,,campus,school,nature or school,nature,school,1,
iat,nature | school,839.19,j,13,,class,school,nature or school,nature,school,1,
iat,nature | school,592.32,f,14,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,744.03,j,15,,exam,school,nature or school,nature,school,1,
iat,nature | school,452.3,f,16,,lake,nature,nature or school,nature,school,1,
iat,nature | school,525.68,j,17,,exam,school,nature or school,nature,school,1,
iat,nature | school,721.12,j,18,,class,school,nature or school,nature,school,1,
iat,nature | school,602.28,j,19,,essay,school,nature or school,nature,school,1,
iat,nature | school,488.53,j,20,,lecture,school,nature or school,nature,school,1,
iat,nature | school,729.64,j,21,,homework,school,nature or school,nature,school,1,
iat,nature | school,559.65,j,22,,homework,school,nature or school,nature,school,1,
iat,nature | school,477.4,f,23,,forest,nature,nature or school,nature,school,1,
iat,nature | school,642.95,j,24,,grade,school,nature or school,nature,school,1,
iat,serenity | anxiety,652.26,j,25,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,687.27,f,26,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,622.04,j,27,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,491.75,f,28,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,448.1,f,29,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,486.43,f,30,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,603.66,f,31,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,705.21,j,32,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,573.7,j,33,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
