trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,707.44,f,1,,forest,nature,nature or school,nature,school,1,
iat,nature | school,692.63,f,2,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,471.23,f,3,,tree,nature,nature or school,nature,school,1,
iat,nature | school,644.12,f,4,,tree,nature,nature or school,nature,school,1,
iat,nature | school,682.89,f,5,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,714.32,f,6,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,359.01,f,7,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,589.83,j,8,,grade,school,nature or school,nature,school,1,
iat,nature | school,643.54,f,9,,lake,nature,nature or school,nature,school,1,
iat,nature | school,726.12,f,10,,forest,nature,nature or school,nature,school,1,
iat,nature | school,605.44,f,11,,lake,nature,nature or school,nature,school,1,
iat,nature | school,423.78,f,12,,river,nature,nature or school,nature,school,1,
iat,nature | school,527.11,f,13,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,462.26,f,14,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,575.76,f,15,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,773.67,f,16,,forest,nature,nature or school,nature,school,1,
iat,nature | school,409.01,j,17,,teacher,school,nature or school,nature,school,1,
iat,nature | school,569.45,f,18,,tree,nature,nature or school,nature,school,1,
iat,nature | school,541.19,j,19,,grade,school,nature or school,nature,school,1,
iat,nature | school,493.7,f,20,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,453.87,f,21,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,684.07,f,22,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,533.84,f,23,,river,nature,nature or school,nature,school,1,
iat,nature | school,641.77,j,24,,teacher,school,nature or school,nature,school,1,
iat,serenity | anxiety,391.01,j,25,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,557.27,f,26,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,720.33,j,27,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,403.08,j,28,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,352.93,j,29,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,440.58,j,30,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,726.83,j,31,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,482.2,j,32,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,472.97,j,33,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,679.53,j,34,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,489.22,f,35,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,671.96,j,36,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,478.97,j,37,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,490.32,f,38,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,735.62,j,39,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,517.08,j,40,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,524.3,f,41,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,755.99,f,42,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,622.84,f,43,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,478.81,f,44,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,537.21,j,45,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
