trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,540.42,f,1,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,665.89,f,2,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,563.32,j,3,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,887.98,j,4,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,358.39,f,5,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,518.48,j,6,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,825.57,j,7,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,465.8,f,8,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,643.47,j,9,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,636.59,j,10,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,542.95,j,11,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,861.41,f,12,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,483.99,j,13,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,708.3,j,14,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,752.4,f,15,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,585.1,j,16,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,468.46,j,17,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,755.69,f,18,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,655.62,f,19,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,701.36,f,20,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,490.79,j,21,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,571.37,j,22,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,694.45,f,23,,worry,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,778.29,f,24,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,522.76,j,25,,class,school,nature or school,nature,school,1,
iat,nature | school,833.5,j,26,,class,school,nature or school,nature,school,1,
iat,nature | school,577.62,f,27,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,763.12,f,28,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,694.07,f,29,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,806.03,f,30,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,416.3,f,31,,tree,nature,nature or school,nature,school,1,
iat,nature | school,581.85,f,32,,river,nature,nature or school,nature,school,1,
iat,nature | school,615.69,j,33,,ocean,nature,nature or school,nature,school,0,
iat,nature | school,623.53,f,34,,homework,school,nature or school,nature,school,0,
iat,nature | school,551.31,f,35,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,631.53,f,36,,river,nature,nature or school,nature,school,1,
iat,nature | school,494.45,j,37,,teacher,school,nature or school,nature,school,1,
iat,nature | school,315.76,j,38,,homework,school,nature or school,nature,school,1,
iat,nature | school,526.1,f,39,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,274.28,f,40,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,658.84,j,41,,homework,school,nature or school,nature,school,1,
iat,nature | school,608.01,j,42,,essay,school,nature or school,nature,school,1,
iat,nature | school,552.19,j,43,,essay,school,nature or school,nature,school,1,
iat,nature | school,632.41,f,44,,lake,nature,nature or school,nature,school,1,
iat,nature | school,631.08,j,45,,class,school,nature or school,nature,school,1,
iat,nature | school,536.03,j,46,,teacher,school,nature or school,nature,school,1,
iat,nature | school,379.07,f,47,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,663.2,f,48,,mountain,nature,nature or school,nature,school,1,
iat,nature or serenity | school or anxiety,626.11,f,49,,rest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,631.52,f,50,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,604.86,f,51,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,729.84,j,52,,panic,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,407.5,f,53,,rest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,453.07,f,54,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,599.44,j,55,,stress,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
