trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,585.36,j,1,,exam,school,nature or school,nature,school,1,
iat,nature | school,391.71,f,2,,lake,nature,nature or school,nature,school,1,
iat,nature | school,654.17,j,3,,grade,school,nature or school,nature,school,1,
iat,nature | school,677.39,j,4,,essay,school,nature or school,nature,school,1,
iat,nature | school,741.21,j,5,,lecture,school,nature or school,nature,school,1,
iat,nature | school,529.8,j,6,,tree,nature,nature or school,nature,school,0,
iat,nature | school,336.02,j,7,,homework,school,nature or school,nature,school,1,
iat,nature | school,579.44,j,8,,homework,school,nature or school,nature,school,1,
iat,nature | school,564.43,f,9,,lake,nature,nature or school,nature,school,1,
iat,nature | school,646.99,f,10,,exam,school,nature or school,nature,school,0,
iat,nature | school,651.73,f,11,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,528.21,f,12,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,613.84,f,13,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,464.3,f,14,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,713.75,f,15,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,801.44,j,16,,grade,school,nature or school,nature,school,1,
iat,nature | school,707.18,f,17,,tree,nature,nature or school,nature,school,1,
iat,nature | school,404.03,f,18,,lake,nature,nature or school,nature,school,1,
iat,nature | school,629.79,f,19,,forest,nature,nature or school,nature,school,1,
iat,nature | school,465.23,j,20,,essay,school,nature or school,nature,school,1,
iat,nature | school,566.76,j,21,,class,school,nature or school,nature,school,1,
iat,nature | school,687.02,f,22,,lake,nature,nature or school,nature,school,1,
iat,nature | school,516.13,f,23,,tree,nature,nature or school,nature,school,1,
iat,nature | school,441.49,j,24,,lecture,school,nature or school,nature,school,1,
iat,serenity | anxiety,628.88,j,25,,quiet,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,654.44,j,26,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,646.5,j,27,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,688.11,f,28,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,647.06,f,29,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,570.82,f,30,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,692.04,f,31,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,631.71,f,32,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,436.32,j,33,,relax,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,780.38,f,34,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,561.9,f,35,,worry,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,771.86,f,36,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,662.71,j,37,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,684.4,f,38,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,665.7,j,39,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,567.31,f,40,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,798.01,j,41,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,422.1,j,42,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,822.33,f,43,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,433.61,f,44,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,528.09,f,45,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,604.11,j,46,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,635.01,f,47,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,505.72,j,48,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature or anxiety | school or serenity,601.36,j,49,,exam,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,581.51,j,50,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,638.06,f,51,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,611.92,f,52,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,408.41,j,53,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,854.84,f,54,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,670.6,j,55,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,701.43,j,56,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,811.19,f,57,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,569.54,j,58,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,653.37,f,59,,tree,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,824.76,f,60,,tree,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,653.41,j,61,,nervous,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,630.38,f,62,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,767.89,j,63,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,708.92,f,64,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,455.2,f,65,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,807.19,f,66,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,648.28,j,67,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,573.55,j,68,,stress,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,589.55,f,69,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,655.34,j,70,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,797.55,j,71,,campus,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,637.29,f,72,,tree,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,523.13,f,73,,stress,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,692.19,f,74,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,863.91,j,75,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,571.28,f,76,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,623.06,j,77,,mountain,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,776.58,j,78,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
