trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,577.03,j,1,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,579.18,j,2,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,523.02,j,3,,soothe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,787.66,f,4,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,344.48,j,5,,peace,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,586.89,f,6,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,736.46,f,7,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,379.02,f,8,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,604.0,j,9,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,366.09,f,10,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,654.69,j,11,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,435.45,f,12,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,608.2,f,13,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,604.87,f,14,,stress,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,673.0,j,15,,peace,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,850.46,f,16,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,473.03,j,17,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,596.6,j,18,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,698.63,f,19,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,681.04,f,20,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,589.56,j,21,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,613.81,j,22,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,817.42,f,23,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,654.59,f,24,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,384.1,j,25,,class,school,nature or school,nature,school,1,
iat,nature | school,597.17,j,26,,teacher,school,nature or school,nature,school,1,
iat,nature | school,623.15,j,27,,lake,nature,nature or school,nature,school,0,
iat,nature | school,426.24,j,28,,grade,school,nature or school,nature,school,1,
iat,nature | school,487.77,j,29,,class,school,nature or school,nature,school,1,
iat,nature | school,540.51,f,30,,forest,nature,nature or school,nature,school,1,
iat,nature | school,468.14,f,31,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,683.64,j,32,,exam,school,nature or school,nature,school,1,
iat,nature | school,431.28,f,33,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,571.63,j,34,,grade,school,nature or school,nature,school,1,
iat,nature | school,464.4,f,35,,forest,nature,nature or school,nature,school,1,
iat,nature | school,613.1,j,36,,lecture,school,nature or school,nature,school,1,
