trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,637.97,f,1,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,422.98,f,2,,forest,nature,nature or school,nature,school,1,
iat,nature | school,542.94,f,3,,lake,nature,nature or school,nature,school,1,
iat,nature | school,547.44,j,4,,homework,school,nature or school,nature,school,1,
iat,nature | school,578.24,j,5,,mountain,nature,nature or school,nature,school,0,
iat,nature | school,610.38,f,6,,lake,nature,nature or school,nature,school,1,
iat,nature | school,619.19,f,7,,river,nature,nature or school,nature,school,1,
iat,nature | school,824.46,f,8,,essay,school,nature or school,nature,school,0,
iat,nature | school,611.36,j,9,,class,school,nature or school,nature,school,1,
iat,nature | school,742.22,j,10,,class,school,nature or school,nature,school,1,
iat,nature | school,649.68,f,11,,river,nature,nature or school,nature,school,1,
iat,nature | school,737.03,f,12,,river,nature,nature or school,nature,school,1,
iat,nature | school,611.91,j,13,,exam,school,nature or school,nature,school,1,
iat,nature | school,498.48,f,14,,forest,nature,nature or school,nature,school,1,
iat,nature | school,511.8,f,15,,river,nature,nature or school,nature,school,1,
iat,nature | school,678.91,j,16,,campus,school,nature or school,nature,school,1,
iat,nature | school,431.21,f,17,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,602.2,j,18,,class,school,nature or school,nature,school,1,
iat,nature | school,713.39,j,19,,essay,school,nature or school,nature,school,1,
iat,nature | school,590.88,f,20,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,529.69,j,21,,grade,school,nature or school,nature,school,1,
iat,nature | school,635.21,j,22,,homework,school,nature or school,nature,school,1,
iat,nature | school,722.63,j,23,,grade,school,nature or school,nature,school,1,
iat,nature | school,407.53,f,24,,mountain,nature,nature or school,nature,school,1,
iat,serenity | anxiety,454.67,j,25,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,490.03,j,26,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,718.8,f,27,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,351.45,j,28,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,794.71,f,29,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,463.86,f,30,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,779.25,j,31,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,325.66,f,32,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,545.72,j,33,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,559.2,f,34,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,984.35,f,35,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,516.55,j,36,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,777.78,j,37,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,641.74,j,38,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,625.7,j,39,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,550.59,f,40,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,370.87,f,41,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,534.01,f,42,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,639.01,j,43,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,432.48,j,44,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,383.8,j,45,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,510.06,j,46,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,505.75,f,47,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,601.84,f,48,,stress,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,nature or serenity | school or anxiety,633.58,j,49,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,709.72,f,50,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,722.68,j,51,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,755.89,j,52,,stress,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,711.0,j,53,,panic,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,505.68,j,54,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,730.53,f,55,,river,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,458.39,j,56,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,691.65,f,57,,gentle,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,562.51,f,58,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,532.56,j,59,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,588.61,f,60,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,467.5,j,61,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,622.07,f,62,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,374.98,j,63,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,457.05,f,64,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,642.66,f,65,,gentle,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,835.24,j,66,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,485.07,f,67,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,589.65,j,68,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,491.38,j,69,,alarm,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,350.55,f,70,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,634.87,j,71,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,442.31,j,72,,class,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,583.58,j,73,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,646.68,j,74,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,690.9,f,75,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,656.7,j,76,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,443.06,j,77,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,602.55,j,78,,worry,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,380.59,f,79,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,565.31,f,80,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,469.56,f,81,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,227.53,j,82,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
