"","subject_id","rt","congruent","condition","age","rt_category_loop","rt_category_vec"
"1",1,573,FALSE,"control",19,"Slow","Slow"
"2",2,NA,FALSE,"incongruent",45,"Unknown","Unknown"
"3",3,424,FALSE,"control",42,"Fast","Fast"
"4",4,436,FALSE,"control",32,"Fast","Fast"
"5",5,540,FALSE,"control",47,"Slow","Slow"
"6",6,612,FALSE,"incongruent",26,"Slow","Slow"
"7",7,591,FALSE,"control",45,"Slow","Slow"
"8",8,662,TRUE,"incongruent",33,"Slow","Slow"
"9",9,445,FALSE,"control",35,"Fast","Fast"
"10",10,563,FALSE,"control",20,"Slow","Slow"
"11",11,437,FALSE,"control",21,"Fast","Fast"
"12",12,401,TRUE,"incongruent",25,"Fast","Fast"
"13",13,594,FALSE,"control",54,"Slow","Slow"
"14",14,NA,TRUE,"incongruent",53,"Unknown","Unknown"
"15",15,643,FALSE,"control",32,"Slow","Slow"
"16",16,675,FALSE,"control",61,"Slow","Slow"
"17",17,578,FALSE,"incongruent",21,"Slow","Slow"
"18",18,524,TRUE,"control",41,"Slow","Slow"
"19",19,511,FALSE,"incongruent",33,"Slow","Slow"
"20",20,517,FALSE,"control",61,"Slow","Slow"
"21",21,478,TRUE,"control",29,"Fast","Fast"
"22",22,629,FALSE,"incongruent",52,"Slow","Slow"
"23",23,504,FALSE,"control",42,"Slow","Slow"
"24",24,522,FALSE,"incongruent",36,"Slow","Slow"
"25",25,452,FALSE,"control",48,"Fast","Fast"
"26",26,457,TRUE,"incongruent",56,"Fast","Fast"
"27",27,677,FALSE,"control",33,"Slow","Slow"
"28",28,271,TRUE,"control",42,"Fast","Fast"
"29",29,531,TRUE,"control",33,"Slow","Slow"
"30",30,415,FALSE,"control",48,"Fast","Fast"
"31",31,577,TRUE,"incongruent",56,"Slow","Slow"
"32",32,345,FALSE,"incongruent",48,"Fast","Fast"
"33",33,467,TRUE,"control",57,"Fast","Fast"
"34",34,634,FALSE,"incongruent",57,"Slow","Slow"
"35",35,455,TRUE,"control",65,"Fast","Fast"
"36",36,578,FALSE,"control",36,"Slow","Slow"
"37",37,548,FALSE,"control",44,"Slow","Slow"
"38",38,516,FALSE,"control",18,"Slow","Slow"
"39",39,401,TRUE,"control",44,"Fast","Fast"
"40",40,542,TRUE,"control",22,"Slow","Slow"
